"Username","Stimuli.Answer","Direction","Encoding","scored"
"20321578","Ballet","Unrelated","Read",1
"M20327473","Ballet","Unrelated","Read",1
"M20322809","Ballet","Unrelated","Read",1
"m20335829","Ballet","Unrelated","Read",1
"M20320940","Ballet","Unrelated","Read",1
"M20335574","Ballet","Unrelated","Read",1
"M20311413","Ballet","Unrelated","Read",1
"M20324255","Ballet","Unrelated","Read",1
"M20323930","Ballet","Unrelated","Read",1
"M20321393","Ballet","Unrelated","Read",0
"20302746","Ballet","Unrelated","Read",1
"M20304792_AEM","Ballet","Unrelated","Read",1
"M20316111_ARD","Ballet","Unrelated","Read",1
"M20301992","Ballet","Unrelated","Read",1
"20322440","Ballet","Unrelated","Read",0
"20327605","Ballet","Unrelated","Read",0
"M20317208","Ballet","Unrelated","Read",1
"m20319677","Ballet","Unrelated","Read",0
"M2033128","Ballet","Unrelated","Read",1
"M20324255","Bear","Related","Read",0
"m20319677","Bear","Related","Read",1
"M2033128","Bear","Related","Read",1
"M20321393","Bear","Related","Read",0
"M20304792_AEM","Bear","Related","Read",0
"20321578","Bear","Related","Read",0
"M20322809","Bear","Related","Read",1
"M20317208","Bear","Related","Read",1
"M20335574","Bear","Related","Read",1
"M20311413","Bear","Related","Read",0
"M20316111_ARD","Bear","Related","Read",0
"20327605","Bear","Related","Read",1
"M20323930","Bear","Related","Read",1
"M20301992","Bear","Related","Read",1
"M20320940","Bear","Related","Read",0
"20302746","Bear","Related","Read",0
"m20335829","Bear","Related","Read",0
"20322440","Bear","Related","Read",1
"M20327473","Bear","Related","Read",1
"20302746","Blue","Unrelated","Read",1
"M20301992","Blue","Unrelated","Read",0
"M20316111_ARD","Blue","Unrelated","Read",1
"20322440","Blue","Unrelated","Read",1
"M20311413","Blue","Unrelated","Read",0
"M20317208","Blue","Unrelated","Read",0
"M20327473","Blue","Unrelated","Read",0
"m20335829","Blue","Unrelated","Read",1
"M20335574","Blue","Unrelated","Read",1
"m20319677","Blue","Unrelated","Read",1
"M20321393","Blue","Unrelated","Read",0
"20321578","Blue","Unrelated","Read",0
"M20320940","Blue","Unrelated","Read",1
"20327605","Blue","Unrelated","Read",1
"M20323930","Blue","Unrelated","Read",0
"M20324255","Blue","Unrelated","Read",1
"M2033128","Blue","Unrelated","Read",0
"M20322809","Blue","Unrelated","Read",0
"M20304792_AEM","Blue","Unrelated","Read",0
"M2033128","Canyon","Related","Read",1
"20302746","Canyon","Related","Read",1
"M20321393","Canyon","Related","Read",0
"M20320940","Canyon","Related","Read",1
"M20316111_ARD","Canyon","Related","Read",1
"M20335574","Canyon","Related","Read",1
"M20327473","Canyon","Related","Read",1
"M20304792_AEM","Canyon","Related","Read",1
"M20324255","Canyon","Related","Read",1
"20327605","Canyon","Related","Read",1
"M20301992","Canyon","Related","Read",1
"20321578","Canyon","Related","Read",1
"m20319677","Canyon","Related","Read",1
"20322440","Canyon","Related","Read",1
"M20322809","Canyon","Related","Read",1
"m20335829","Canyon","Related","Read",1
"M20323930","Canyon","Related","Read",1
"M20317208","Canyon","Related","Read",1
"M20311413","Canyon","Related","Read",1
"M20317208","Cat","Related","Read",1
"20327605","Cat","Related","Read",1
"M20316111_ARD","Cat","Related","Read",1
"M20323930","Cat","Related","Read",0
"M2033128","Cat","Related","Read",0
"20321578","Cat","Related","Read",1
"M20327473","Cat","Related","Read",0
"M20311413","Cat","Related","Read",1
"M20320940","Cat","Related","Read",1
"M20304792_AEM","Cat","Related","Read",1
"M20335574","Cat","Related","Read",0
"M20301992","Cat","Related","Read",0
"M20322809","Cat","Related","Read",0
"m20319677","Cat","Related","Read",0
"20302746","Cat","Related","Read",1
"M20324255","Cat","Related","Read",1
"M20321393","Cat","Related","Read",0
"20322440","Cat","Related","Read",0
"m20335829","Cat","Related","Read",1
"M20322809","Cave","Related","Read",1
"M20324255","Cave","Related","Read",1
"M20304792_AEM","Cave","Related","Read",1
"M20320940","Cave","Related","Read",0
"M20301992","Cave","Related","Read",1
"M20311413","Cave","Related","Read",0
"m20319677","Cave","Related","Read",1
"m20335829","Cave","Related","Read",1
"20321578","Cave","Related","Read",1
"20302746","Cave","Related","Read",1
"M20323930","Cave","Related","Read",1
"M2033128","Cave","Related","Read",0
"20322440","Cave","Related","Read",1
"M20321393","Cave","Related","Read",1
"M20335574","Cave","Related","Read",1
"20327605","Cave","Related","Read",1
"M20327473","Cave","Related","Read",0
"M20317208","Cave","Related","Read",1
"M20316111_ARD","Cave","Related","Read",1
"M20317208","Cheetah","Related","Read",1
"20302746","Cheetah","Related","Read",0
"M20323930","Cheetah","Related","Read",1
"20322440","Cheetah","Related","Read",1
"m20335829","Cheetah","Related","Read",1
"20327605","Cheetah","Related","Read",1
"M20327473","Cheetah","Related","Read",1
"M20301992","Cheetah","Related","Read",1
"20321578","Cheetah","Related","Read",1
"M20335574","Cheetah","Related","Read",1
"M20324255","Cheetah","Related","Read",1
"M20322809","Cheetah","Related","Read",1
"M20311413","Cheetah","Related","Read",1
"M20320940","Cheetah","Related","Read",0
"m20319677","Cheetah","Related","Read",1
"M20304792_AEM","Cheetah","Related","Read",1
"M20316111_ARD","Cheetah","Related","Read",1
"M20321393","Cheetah","Related","Read",1
"M2033128","Cheetah","Related","Read",1
"20327605","Cold","Unrelated","Read",1
"M20323930","Cold","Unrelated","Read",0
"M20327473","Cold","Unrelated","Read",1
"20321578","Cold","Unrelated","Read",1
"M20320940","Cold","Unrelated","Read",1
"m20335829","Cold","Unrelated","Read",0
"M20311413","Cold","Unrelated","Read",0
"M2033128","Cold","Unrelated","Read",1
"M20304792_AEM","Cold","Unrelated","Read",0
"M20316111_ARD","Cold","Unrelated","Read",1
"20302746","Cold","Unrelated","Read",1
"M20322809","Cold","Unrelated","Read",1
"M20301992","Cold","Unrelated","Read",0
"m20319677","Cold","Unrelated","Read",1
"M20321393","Cold","Unrelated","Read",1
"M20324255","Cold","Unrelated","Read",1
"M20335574","Cold","Unrelated","Read",1
"M20317208","Cold","Unrelated","Read",1
"20322440","Cold","Unrelated","Read",0
"M20311413","Computer","Unrelated","Read",0
"M20323930","Computer","Unrelated","Read",1
"M20327473","Computer","Unrelated","Read",0
"M20320940","Computer","Unrelated","Read",1
