"Username","Related","Unrelated","Encoding","experiment"
"543e85adfdf99b7356902e90",5898,5916.5,"item","1A"
"55d4d11258c35800113dc2ab",3469.81818181818,3478.25,"item","1A"
"5858c6178604ae000165e66a",5291.72727272727,4405.25,"item","1A"
"58f93198dbfafa0001d227c9",2909,2965.45833333333,"item","1A"
"5cd633b904748d001a19f092",5540,4438.30434782609,"item","1A"
"5da6b2aca2860400146b8ace",5081.94736842105,3372.30434782609,"item","1A"
"5e29fd5f2bec3b065e9a729e",5879.95238095238,6010.04545454545,"item","1A"
"5e42fc295135b5000cd20d0b",4258.4347826087,3037.75,"item","1A"
"5e4438c766f95e2bcccc2548",4455.39130434783,4440.66666666667,"item","1A"
"5e49f30e8459a1469b1950e5",4374.04347826087,3875.34782608696,"item","1A"
"5ea32a0ea7b59a0c92e82ac8",2443.31818181818,2617.45833333333,"item","1A"
"5f12178ab3ab9d046595ce66",2842.83333333333,2864.29166666667,"item","1A"
"5f24978b3b9626088ac0eeb7",7179,6854,"item","1A"
"5f24a57c030da70af5ffd2bf",3770.41666666667,3175,"item","1A"
"5fb2e72ac95e4c9ab7a082da",2239.41666666667,1784.375,"item","1A"
"5fdcd228539a382bc5e9fae5",5882,4667.70833333333,"item","1A"
"600d14cfdc7ef74ca39fd9ed",7077.9,5495.66666666667,"item","1A"
"6085bf84bb0ce00524154c60",4531.75,4574.66666666667,"item","1A"
"60c20992212adb0a37fb5259",4510.91304347826,4256.25,"item","1A"
"60d8f1c24c86aa4d0b23bf4e",3949.75,4841,"item","1A"
"610453aa4fc6ac47f96ddeea",4464.65217391304,3337.33333333333,"item","1A"
"6266a888ce0c626836c91bc6",5016.2,3624.13043478261,"item","1A"
"62714a240ed387f760f6741b",4122.59090909091,4027.79166666667,"item","1A"
"62b1ed31eaaaa61b18c69032",4269.04166666667,3647.33333333333,"item","1A"
"637545d6428d85daeedc3df5",6189.15789473684,5778.5,"item","1A"
"63e51e063af1cc5baf0c72ca",2816.5,1959.16666666667,"item","1A"
"63e6378e04ade071ebf9ff9c",4861.4,2355.58333333333,"item","1A"
"640103805957bbf6a1326ed0",2714.66666666667,1948.25,"item","1A"
"6413a4a1a6e064ffb173f1ce",3785.61111111111,3056.41666666667,"item","1A"
"6441204e8a1c0c51415ce0f8",3096.5,3382.125,"item","1A"
"651b249337102ada9fee4951",3462.95652173913,3128.95833333333,"item","1A"
"654455de70d56539c9d7584e",5785.83333333333,4730,"item","1A"
"654aa136887e2fe9be670acf",4308.25,4211.5,"item","1A"
"65524c24f1e5b5a1d8f24c84",4800.69565217391,3312.20833333333,"item","1A"
"657682c4146b125e4f8d8c1d",2047.5,2126.54166666667,"item","1A"
"657f60cb12d4254e4dc7374f",2248.91304347826,1980.5652173913,"item","1A"
"5671927473f58b000d664293",2130.08333333333,2562.91666666667,"global","1A"
"56a38b45dbe850000cfd50c3",2123.125,3810.6,"global","1A"
"56cb314508d7300005fd312a",2366.875,2298,"global","1A"
"576d8e821a48240001867c54",2073.33333333333,1880.08333333333,"global","1A"
"57db00fcb9fb6f0001dda512",2361.79166666667,2436.125,"global","1A"
"58c8497430c4cf0001ce9caf",1690.41666666667,1539.5,"global","1A"
"5a993b151eda410001365a23",3053.13636363636,4044.54166666667,"global","1A"
"5b14898a30d562000155f1e9",1714.86956521739,1613.4347826087,"global","1A"
"5b4d41e13d01bd0001ec46c2",3059.39130434783,2483.41666666667,"global","1A"
"5b99663d4cefb60001e7a214",2008.08333333333,2112.54166666667,"global","1A"
"5bfdd2bc11e618000158834f",1489.875,2003.83333333333,"global","1A"
"5cee69353057030001b33fc4",2878.16666666667,2791.54166666667,"global","1A"
"5dec6a96da522335df62a1b5",2932.25,2926.75,"global","1A"
"5e45fd328bd52c0ec7b4328e",1795.375,1945.5,"global","1A"
"5e76d2652d882b2481d65066",1633.33333333333,2071.45833333333,"global","1A"
"5eb983034987d1074b5232ce",2279.95652173913,2198.5652173913,"global","1A"
"5ecbfc627a51250bfb1f297f",2100.66666666667,2430.08333333333,"global","1A"
"5edd17ac9e50c2a065687da4",2199.25,3006.04166666667,"global","1A"
"5f4157879935a52e2f3057ab",3722.08333333333,3445.75,"global","1A"
"603d8785babbb5cf8cd518be",2557.5,2325.58333333333,"global","1A"
"60c9fcbb6090f57f63cdbebf",1749.16666666667,1924.33333333333,"global","1A"
"60fc14b7339c9fc0dc0ab317",3279.73913043478,3974.73913043478,"global","1A"
"61002db58920b51da825d9e8",3802.79166666667,3910.78260869565,"global","1A"
"611ac17a9d585411a2314882",2799.5652173913,2498.625,"global","1A"
"612f4efe7a2e36e60e3254a7",1621.54166666667,1892.375,"global","1A"
"627ab87b18dedc5ab2992a61",1856.95833333333,1916.08333333333,"global","1A"
"62b4a72f7bad9f1e3babd277",1523.45833333333,1539.54166666667,"global","1A"
"6347200d8ded5172ec43e0bb",2553.75,3355.39130434783,"global","1A"
"63af557b3d4f219c3226b7d6",2387.33333333333,1852.875,"global","1A"
"63c58429db2b7daf0f67d60d",2193.5,2428.20833333333,"global","1A"
"63e5eb956eab1f2740ac6289",1774.58333333333,1474.65,"global","1A"
"646d09329a9be6926ff22bed",4409.58333333333,4692.17391304348,"global","1A"
"64f43f017c6a342448feeeb6",5145.52173913043,4821.5652173913,"global","1A"
"6501b789e3ddbc0a0b79b925",2496.5,2532.25,"global","1A"
"652414a8df1d3adfddec9600",1349.625,1287.16666666667,"global","1A"
"6543f7e306c0fc611aafc81d",1904.95833333333,1816.95833333333,"global","1A"
"6546864c9ab951bb512b0694",3877.91666666667,3866.58333333333,"global","1A"
"6567ae0e8905da3905e013bf",3801.26086956522,4211,"global","1A"
"5791dae225cb71000128ad5b",1597.20833333333,1353.625,"read","1A"
"597519f8262c480001bbaf8b",9142,8337.11111111111,"read","1A"
"5a8ff02e4fcb2f0001d8bb9b",2247.33333333333,2378.27272727273,"read","1A"
"5a9bbda1f6dfdd0001ea9639",1699.375,2122.95833333333,"read","1A"
"5ab10212fb22320001bacdfe",3959.21739130435,3780.91304347826,"read","1A"
"5af2ef2aa27d3b00011eb45d",2632.375,2508.54166666667,"read","1A"
"5b35824a975e260001e9b7a6",2053.33333333333,1862.29166666667,"read","1A"
"5b523bdc608e18000184d8a6",1596,1579.125,"read","1A"
"5c59baa95e09ea00015521d9",3194.4347826087,2854.04347826087,"read","1A"
"5c92f797803bff0017fef8dd",1425.875,1653.875,"read","1A"
"5cb67a7ab73e8a001507fae5",4755.45833333333,4707.875,"read","1A"
"5d68c8aa40524c00189e8ac2",7809.92857142857,6497.65217391304,"read","1A"
"5dfab99508267580dcdafe05",1601.08333333333,1505.08333333333,"read","1A"
"5e10a618a1f36176c71669ac",2147.58333333333,2502.95833333333,"read","1A"
"5e97012e6074fb190b2e4",1779.625,1770.75,"read","1A"
"5ee4a14b578f8a000b384376",1713.25,1739.125,"read","1A"
"5f0f7fe1d7ad1c000b42d091",1760,1698.70833333333,"read","1A"
"600eccf35bb4996e7d3c694f",1474.25,1439.625,"read","1A"
"6012ed349807110d8eb941a6",2676.39130434783,3031.70833333333,"read","1A"
"607bfcc67adf7f35b00c57b3",3772.79166666667,3908,"read","1A"
"62c5d0cfdf443d24e054d302",2273.47619047619,2557.05263157895,"read","1A"
"62c9e5f7ad5a36ab331103bb",2420.34782608696,3195.75,"read","1A"
"62ea847288423b9d2a07d537",2100.04166666667,2164.16666666667,"read","1A"
"6319ff03df1e7848122f18b1",1829.04166666667,1787.375,"read","1A"
