"Username","Related","Unrelated","Encoding","experiment"
"20306662",4599.21052631579,3765.3,"item","1B"
"20308360_AC",2494.5652173913,2520.25,"item","1B"
"20322866",5630.73684210526,4966.45454545455,"item","1B"
"20328171",5409.23076923077,5865.19047619048,"item","1B"
"20328463",2878.54166666667,2074.33333333333,"item","1B"
"M20243667",4297.85714285714,4577,"item","1B"
"M20276452_TBT",3948,3716.375,"item","1B"
"M20276467",4232.80952380952,3791.45833333333,"item","1B"
"M20283523",4296.15,3161.25,"item","1B"
"M20291305",2349.70833333333,2444.45833333333,"item","1B"
"m20301357",4066.09523809524,3262.95454545455,"item","1B"
"M20302138_ASE",3194.40909090909,3232.29166666667,"item","1B"
"M20304204",2038.16666666667,2238.08333333333,"item","1B"
"M20309742",7902.85714285714,7415.85714285714,"item","1B"
"M20312469",3359.90909090909,3429.4347826087,"item","1B"
"M20312669",4387.35714285714,5081.86363636364,"item","1B"
"M20316163_AFH",4130.52380952381,3563.69565217391,"item","1B"
"M20316577",3892.69565217391,3914.21739130435,"item","1B"
"M20319612SMW",2267.71428571429,2100.16666666667,"item","1B"
"M20319728",7257.33333333333,6799.45454545455,"item","1B"
"M20320387_egh",3381.60869565217,3046.39130434783,"item","1B"
"m20321377",2821.70833333333,2588.41666666667,"item","1B"
"M20322521",3853.14285714286,5201.875,"item","1B"
"M20322694_ALB",4011.82608695652,4066.86956521739,"item","1B"
"M20322886",5997.8,5990,"item","1B"
"M20323332_DKV",2504.60869565217,2232.625,"item","1B"
"M20323585",4188.39130434783,4307.81818181818,"item","1B"
"M20324107",3819.08333333333,3126.33333333333,"item","1B"
"M20324618",4098.2380952381,3932.69565217391,"item","1B"
"M20324775",5360.73333333333,4630.9375,"item","1B"
"M20325842",2846.28571428571,2228.83333333333,"item","1B"
"M20330003_MKG",4601.25,4134.30434782609,"item","1B"
"M20331086",3642.9,4218.80952380952,"item","1B"
"M20331432_JB",5196,3863.5,"item","1B"
"M20332037",4271.39130434783,3445.65217391304,"item","1B"
"M20333217",3274.04545454545,2999.41666666667,"item","1B"
"M40324880",2278.72727272727,2098.20833333333,"item","1B"
"20322939",1542.6,2082.66666666667,"global","1B"
"20322965",1995.4,1481.5,"global","1B"
"20335770",3201.2,1408.5,"global","1B"
"M10356731",2185.5,1707.625,"global","1B"
"M20277243_SKS",1570.79166666667,1895.29166666667,"global","1B"
"m20280673",4957.95652173913,4136.08695652174,"global","1B"
"M20293123",2597.59090909091,4306.95454545455,"global","1B"
"M20293288",1286.25,2328.85714285714,"global","1B"
"M20295968",5776.3,8014.16666666667,"global","1B"
"M20301881_GM",1940.52631578947,1445,"global","1B"
"M20302792",1719.88888888889,1563,"global","1B"
"M20307961",1842.14285714286,1352,"global","1B"
"M20308203_KDL",1324.41666666667,1642.83333333333,"global","1B"
"M20308397",1493.27272727273,1854.25,"global","1B"
"m20310291",1907.625,2495.11111111111,"global","1B"
"M20315108",1624.5,1703.04166666667,"global","1B"
"M20315390_JKL",2196,1263.5,"global","1B"
"M20316100",1143.1,1122,"global","1B"
"M20316174",1325.83333333333,1528,"global","1B"
"M20316548",4766.18181818182,4377.875,"global","1B"
"M20317313",4224.4,3197,"global","1B"
"M20317351",3530.625,2486.25,"global","1B"
"M20319485",2296,1409.125,"global","1B"
"m20320237",4947,1260,"global","1B"
"M20321343!",1959.46153846154,1325.9,"global","1B"
"M20321413",4760.55555555556,6938.6,"global","1B"
"M20321533",3704,2137,"global","1B"
"M20321748",1247.375,1327,"global","1B"
"M20322696_MNC",3073.80952380952,3781.52173913043,"global","1B"
"M20322859",1624.45833333333,1449.21739130435,"global","1B"
"M20324037_AP.",1589.25,NA,"global","1B"
"m20326074",2023.27272727273,1653.0625,"global","1B"
"M20326354_SNC.",1395.5,1241.25,"global","1B"
"M20326622",1955.66666666667,1408.33333333333,"global","1B"
"m20327174",1473.2,1408.44444444444,"global","1B"
"M20327498",3421.29166666667,2189,"global","1B"
"M20329016",5516,1693,"global","1B"
"M20330660_MLM",3639.04347826087,2595.16666666667,"global","1B"
"M20333212_HDW",1285.33333333333,1126.16666666667,"global","1B"
"M20337010",2680.55555555556,4257,"global","1B"
"20302746",3013.42857142857,NA,"read","1B"
"20320535",2166.92307692308,1872.63636363636,"read","1B"
"20321578",3475.15384615385,3107.76923076923,"read","1B"
"20322440",1507.28571428571,1342.52173913043,"read","1B"
"20327605",1693.92857142857,3353.5,"read","1B"
"M20301992",3982.08695652174,2607.625,"read","1B"
"M20304792_AEM",1374.85714285714,1424,"read","1B"
"M20311413",1201.66666666667,1188.85714285714,"read","1B"
"M20312217",2898.95833333333,3350.5,"read","1B"
"M20316111_ARD",2021.6,1901.66666666667,"read","1B"
"M20316458",2264.6875,1702.0625,"read","1B"
"M20316465",1777.79166666667,1909.29166666667,"read","1B"
"M20316492!",1304.07142857143,1349.04761904762,"read","1B"
"M20316526",3053.85714285714,4256,"read","1B"
"M20317061",1430,1271,"read","1B"
"M20317208",3077.18181818182,2217.90909090909,"read","1B"
"M20319575",1447.125,1409.91666666667,"read","1B"
"m20319677",4639.39130434783,3037,"read","1B"
"M20320375",1142.5,1217.5,"read","1B"
"M20320646",2986,2372.58333333333,"read","1B"
"M20320940",1424.5,3754,"read","1B"
"M20321393",1744.70833333333,2043.91304347826,"read","1B"
"M20321578",1558.08333333333,1865.33333333333,"read","1B"
"M20322809",2207.16666666667,2161.70833333333,"read","1B"
"m20322960",2732.5,1977.14285714286,"read","1B"
"M20323930",1472.60869565217,1546.125,"read","1B"
"M20324255",4851.42857142857,3490.39130434783,"read","1B"
"M20327473",1187.57142857143,1207.27272727273,"read","1B"
"M20329777",1363.42857142857,1616,"read","1B"
"M20330179",2931.80952380952,3067.4347826087,"read","1B"
"M20331128",5766.15789473684,5210.11764705882,"read","1B"
"M2033128",1893.25,1835.04166666667,"read","1B"
