Cue,Answer,Shuffle,Stimuli Notes,Value
Apple,Apple,R1,Related,1
Orange,Orange,R1,Related,2
Banana,Banana,R1,Related,3
Grape,Grape,R1,Related,4
Pear,Pear,R1,Related,5
Peach,Peach,R1,Related,6
Strawberry,Strawberry,R1,Related,7
Kiwi,Kiwi,R1,Related,8
Plum,Plum,R1,Related,9
Mango,Mango,R1,Related,10
Cherry,Cherry,R1,Related,11
Lemon,Lemon,R1,Related,12
Frog,Frog,U1,Unrelated,13
Bed,Bed,U1,Unrelated,14
Document,Document,U1,Unrelated,15
Dirt,Dirt,U1,Unrelated,16
Mint,Mint,U1,Unrelated,17
Shirt,Shirt,U1,Unrelated,18
Yellow,Yellow,U1,Unrelated,19
Kayak,Kayak,U1,Unrelated,20
Flea,Flea,U1,Unrelated,21
Bean,Bean,U1,Unrelated,22
Slow,Slow,U1,Unrelated,23
Hawk,Hawk,U1,Unrelated,24
Ceiling,Ceiling,R2,Related,25
Basement,Basement,R2,Related,26
Bathroom,Bathroom,R2,Related,27
Window,Window,R2,Related,28
Wall,Wall,R2,Related,29
Door,Door,R2,Related,30
Floor,Floor,R2,Related,31
Stairs,Stairs,R2,Related,32
Elevator,Elevator,R2,Related,33
Attic,Attic,R2,Related,34
Hallway,Hallway,R2,Related,35
Roof,Roof,R2,Related,36
Card,Card,U2,Unrelated,37
Flute,Flute,U2,Unrelated,38
Salt,Salt,U2,Unrelated,39
Cloud,Cloud,U2,Unrelated,40
Basket,Basket,U2,Unrelated,41
Cook,Cook,U2,Unrelated,42
Fossil,Fossil,U2,Unrelated,43
Mother,Mother,U2,Unrelated,44
Drill,Drill,U2,Unrelated,45
Tent,Tent,U2,Unrelated,46
Phone,Phone,U2,Unrelated,47
Rest,Rest,U2,Unrelated,48
Valley,Valley,Recog,Control,49
River,River,Recog,Control,50
Canyon,Canyon,Recog,Control,51
Volcano,Volcano,Recog,Control,52
Rock,Rock,Recog,Control,53
Hill,Hill,Recog,Control,54
Mountain,Mountain,Recog,Control,55
Ocean,Ocean,Recog,Control,56
Island,Island,Recog,Control,57
Lake,Lake,Recog,Control,58
Cave,Cave,Recog,Control,59
Glacier,Glacier,Recog,Control,60
Rifle,Rifle,Recog,Control,61
Mayor,Mayor,Recog,Control,62
Student,Student,Recog,Control,63
Hockey,Hockey,Recog,Control,64
Pants,Pants,Recog,Control,65
Oxygen,Oxygen,Recog,Control,66
Guitar,Guitar,Recog,Control,67
Dollar,Dollar,Recog,Control,68
Parrot,Parrot,Recog,Control,69
Milk,Milk,Recog,Control,70
Jeep,Jeep,Recog,Control,71
Ballet,Ballet,Recog,Control,72
Tiger,Tiger,Recog,Control,73
Lion,Lion,Recog,Control,74
Zebra,Zebra,Recog,Control,75
Cheetah,Cheetah,Recog,Control,76
Wolf,Wolf,Recog,Control,77
Goat,Goat,Recog,Control,78
Girraffe,Girraffe,Recog,Control,79
Elephant,Elephant,Recog,Control,80
Cat,Cat,Recog,Control,81
Donkey,Donkey,Recog,Control,82
Bear,Bear,Recog,Control,83
Cow,Cow,Recog,Control,84
Sandal,Sandal,Recog,Control,85
Fly,Fly,Recog,Control,86
Tulip,Tulip,Recog,Control,87
Cold,Cold,Recog,Control,88
Blue,Blue,Recog,Control,89
Cruise,Cruise,Recog,Control,90
Shark,Shark,Recog,Control,91
Viper,Viper,Recog,Control,92
Tea,Tea,Recog,Control,93
Lipstick,Lipstick,Recog,Control,94
Computer,Computer,Recog,Control,95
Eye,Eye,Recog,Control,96
Apple,Apple,Recog,Presented,97
Orange,Orange,Recog,Presented,98
Banana,Banana,Recog,Presented,99
Grape,Grape,Recog,Presented,100
Pear,Pear,Recog,Presented,101
Peach,Peach,Recog,Presented,102
Strawberry,Strawberry,Recog,Presented,103
Kiwi,Kiwi,Recog,Presented,104
Plum,Plum,Recog,Presented,105
Mango,Mango,Recog,Presented,106
Cherry,Cherry,Recog,Presented,107
Lemon,Lemon,Recog,Presented,108
Frog,Frog,Recog,Presented,109
Bed,Bed,Recog,Presented,110
Document,Document,Recog,Presented,111
Dirt,Dirt,Recog,Presented,112
Mint,Mint,Recog,Presented,113
Shirt,Shirt,Recog,Presented,114
Yellow,Yellow,Recog,Presented,115
Kayak,Kayak,Recog,Presented,116
Flea,Flea,Recog,Presented,117
Bean,Bean,Recog,Presented,118
Slow,Slow,Recog,Presented,119
Hawk,Hawk,Recog,Presented,120
Ceiling,Ceiling,Recog,Presented,121
Basement,Basement,Recog,Presented,122
Bathroom,Bathroom,Recog,Presented,123
Window,Window,Recog,Presented,124
Wall,Wall,Recog,Presented,125
Door,Door,Recog,Presented,126
Floor,Floor,Recog,Presented,127
Stairs,Stairs,Recog,Presented,128
Elevator,Elevator,Recog,Presented,129
Attic,Attic,Recog,Presented,130
Hallway,Hallway,Recog,Presented,131
Roof,Roof,Recog,Presented,132
Card,Card,Recog,Presented,133
Flute,Flute,Recog,Presented,134
Salt,Salt,Recog,Presented,135
Cloud,Cloud,Recog,Presented,136
Basket,Basket,Recog,Presented,137
Cook,Cook,Recog,Presented,138
Fossil,Fossil,Recog,Presented,139
Mother,Mother,Recog,Presented,140
Drill,Drill,Recog,Presented,141
Tent,Tent,Recog,Presented,142
Phone,Phone,Recog,Presented,143
Rest,Rest,Recog,Presented,144
