Index,Related1,Unrelated1
1,Apple,Frog
2,Orange,Bed
3,Banana,Document
4,Grape,Dirt
5,Pear,Mint
6,Peach,Shirt
7,Strawberry,Yellow
8,Kiwi,Kayak
9,Plum,Flea
10,Mango,Bean
11,Cherry,Slow
12,Lemon,Hawk
13,Ceiling,Card
14,Basement,Flute
15,Bathroom,Salt
16,Window,Cloud
17,Wall,Basket
18,Door,Cook
19,Floor,Fossil
20,Stairs,Mother
21,Elevator,Drill
22,Attic,Tent
23,Hallway,Phone
24,Roof,Rest
