Cue,Answer,Shuffle,Stimuli Notes,Value
pane,,Win_1,Standard,
sill,,Win_2,Standard,
shutter,,Win_3,Standard,
curtain,,Win_4,Standard,
door,,Win_5,Standard,
ledge,,Win_6,Standard,
glass,,Win_7,Standard,
view,,Win_8,Standard,
screen,,Win_9,Standard,
shade,,Win_10,Standard,
open,,Win_11,Standard,
frame,,Win_12,Standard,
sandpaper,,R1,SF,
smooth,,R2,SF,
coarse,,R3,SF,
tough,,R4,SF,
rugged,,R5,SF,
bumpy,,R6,SF,
jagged,,R7,SF,
riders,,R8,SF,
uneven,,R9,SF,
road,,R10,SF,
ready,,R11,SF,
sand,,R12,SF,
rage,,A1,Standard,
mad,,A2,Standard,
enrage,,A3,Standard,
fury,,A4,Standard,
temper,,A5,Standard,
ire,,A6,Standard,
wrath,,A7,Standard,
mean,,A8,Standard,
hatred,,A9,Standard,
fight,,A10,Standard,
hate,,A11,Standard,
fear,,A12,Standard,
garbage,,T1,SF,
rubbish,,T2,SF,
debris,,T3,SF,
dump,,T4,SF,
litter,,T5,SF,
landfill,,T6,SF,
junk,,T7,SF,
waste,,T8,SF,
sewage,,T9,SF,
pile,,T10,SF,
scraps,,T11,SF,
refuse,,T12,SF,
physician,,D1,Standard,
nurse,,D2,Standard,
stethoscope,,D3,Standard,
surgeon,,D4,Standard,
patient,,D5,Standard,
clinic,,D6,Standard,
dentist,,D7,Standard,
medicine,,D8,Standard,
lawyer,,D9,Standard,
health,,D10,Standard,
sick,,D11,Standard,
cure,,D12,Standard,
fast,,S1,SF,
snail,,S2,SF,
turtle,,S3,SF,
sluggish,,S4,SF,
quick,,S5,SF,
molasses,,S6,SF,
lethargic,,S7,SF,
speed,,S8,SF,
delay,,S9,SF,
hesitant,,S10,SF,
cautious,,S11,SF,
traffic,,S12,SF,
mississippi,,RR1,Standard,
creek,,RR2,Standard,
stream,,RR3,Standard,
flow,,RR4,Standard,
bridge,,RR5,Standard,
brook,,RR6,Standard,
lake,,RR7,Standard,
barge,,RR8,Standard,
water,,RR9,Standard,
boat,,RR10,Standard,
tide,,RR11,Standard,
swim,,RR12,Standard,
rye,,B1,SF,
loaf,,B2,SF,
butter,,B3,SF,
toast,,B4,SF,
dough,,B5,SF,
crust,,B6,SF,
flour,,B7,SF,
sandwich,,B8,SF,
jam,,B9,SF,
jelly,,B10,SF,
slice,,B11,SF,
milk,,B12,SF,
banner,,F1,Standard,
checkered,,F2,Standard,
american,,F3,Standard,
stripes,,F4,Standard,
pole,,F5,Standard,
anthem,,F6,Standard,
emblem,,F7,Standard,
national,,F8,Standard,
freedom,,F9,Standard,
symbol,,F10,Standard,
wave,,F11,Standard,
stars,,F12,Standard,
blouse,,SS1,SF,
sleeves,,SS2,SF,
collar,,SS3,SF,
shorts,,SS4,SF,
button,,SS5,SF,
pants,,SS6,SF,
polo,,SS7,SF,
jersey,,SS8,SF,
vest,,SS9,SF,
cuffs,,SS10,SF,
tie,,SS11,SF,
pocket,,SS12,SF,
,sill,RECOG,List Item Standard F,
,view,RECOG,List Item Standard F,
,shade,RECOG,List Item Standard F,
,smooth,RECOG,List Item Sans F,
,riders,RECOG,List Item Sans F,
,road,RECOG,List Item Sans F,
,mad,RECOG,List Item Standard F,
,mean,RECOG,List Item Standard F,
,fight,RECOG,List Item Standard F,
,rubbish,RECOG,List Item Sans F,
,waste,RECOG,List Item Sans F,
,pile,RECOG,List Item Sans F,
,nurse,RECOG,List Item Standard F,
,medicine,RECOG,List Item Standard F,
,health,RECOG,List Item Standard F,
,snail,RECOG,List Item Sans F,
,speed,RECOG,List Item Sans F,
,hesitant,RECOG,List Item Sans F,
,creek,RECOG,List Item Standard F,
,barge,RECOG,List Item Standard F,
,boat,RECOG,List Item Standard F,
,loaf,RECOG,List Item Sans F,
,sandwich,RECOG,List Item Sans F,
,jelly,RECOG,List Item Sans F,
,checkered,RECOG,List Item Standard F,
,national,RECOG,List Item Standard F,
,symbol,RECOG,List Item Standard F,
,sleeves,RECOG,List Item Sans F,
,jersey,RECOG,List Item Sans F,
,cuffs,RECOG,List Item Sans F,
,window,RECOG,Critical Lure Standard F,
,rough,RECOG,Critical Lure Sans F,
,anger,RECOG,Critical Lure Standard F,
,trash,RECOG,Critical Lure Sans F,
,doctor,RECOG,Critical Lure Standard F,
,slow,RECOG,Critical Lure Sans F,
,river,RECOG,Critical Lure Standard F,
,bread,RECOG,Critical Lure Sans F,
,flag,RECOG,Critical Lure Standard F,
,shirt,RECOG,Critical Lure Sans F,
,scent,RECOG,List Item Control,
,fragrance,RECOG,List Item Control,
,rose,RECOG,List Item Control,
,loud,RECOG,List Item Control,
,cotton,RECOG,List Item Control,
,fur,RECOG,List Item Control,
,bitter,RECOG,List Item Control,
,nice,RECOG,List Item Control,
,cake,RECOG,List Item Control,
,swivel,RECOG,List Item Control,
,couch,RECOG,List Item Control,
,sofa,RECOG,List Item Control,
,hill,RECOG,List Item Control,
,steep,RECOG,List Item Control,
,bike,RECOG,List Item Control,
,concert,RECOG,List Item Control,
,melody,RECOG,List Item Control,
,sound,RECOG,List Item Control,
,latex,RECOG,List Item Control,
,eraser,RECOG,List Item Control,
,ball,RECOG,List Item Control,
,inch,RECOG,List Item Control,
,boot,RECOG,List Item Control,
,kick,RECOG,List Item Control,
,dolls,RECOG,List Item Control,
,daughter,RECOG,List Item Control,
,cute,RECOG,List Item Control,
,gray,RECOG,List Item Control,
,blue,RECOG,List Item Control,
,ink,RECOG,List Item Control,
,smell,RECOG,Critical Lure Control,
,soft,RECOG,Critical Lure Control,
,sweet,RECOG,Critical Lure Control,
,chair,RECOG,Critical Lure Control,
,mountain,RECOG,Critical Lure Control,
,music,RECOG,Critical Lure Control,
,rubber,RECOG,Critical Lure Control,
,foot,RECOG,Critical Lure Control,
,girl,RECOG,Critical Lure Control,
,black,RECOG,Critical Lure Control,
