Cue,Answer,Shuffle,Stimuli Notes,Value
aroma,,Win_1,Standard,
scent,,Win_2,Standard,
whiff,,Win_3,Standard,
stench,,Win_4,Standard,
reek,,Win_5,Standard,
sniff,,Win_6,Standard,
perfume,,Win_7,Standard,
fragrance,,Win_8,Standard,
nose,,Win_9,Standard,
rose,,Win_10,Standard,
salts,,Win_11,Standard,
breathe,,Win_12,Standard,
hard,,R1,SF,
loud,,R2,SF,
tender,,R3,SF,
fluffy,,R4,SF,
pillow,,R5,SF,
downy,,R6,SF,
plush,,R7,SF,
cotton,,R8,SF,
skin,,R9,SF,
fur,,R10,SF,
touch,,R11,SF,
furry,,R12,SF,
honey,,A1,Standard,
bitter,,A2,Standard,
sugar,,A3,Standard,
sour,,A4,Standard,
candy,,A5,Standard,
tart,,A6,Standard,
chocolate,,A7,Standard,
nice,,A8,Standard,
taste,,A9,Standard,
cake,,A10,Standard,
good,,A11,Standard,
tooth,,A12,Standard,
table,,T1,SF,
swivel,,T2,SF,
rocking,,T3,SF,
recliner,,T4,SF,
seat,,T5,SF,
stool,,T6,SF,
desk,,T7,SF,
couch,,T8,SF,
sit,,T9,SF,
sofa,,T10,SF,
bench,,T11,SF,
sitting,,T12,SF,
climber,,D1,Standard,
hill,,D2,Standard,
climb,,D3,Standard,
molehill,,D4,Standard,
peak,,D5,Standard,
valley,,D6,Standard,
summit,,D7,Standard,
steep,,D8,Standard,
ski,,D9,Standard,
bike,,D10,Standard,
goat,,D11,Standard,
glacier,,D12,Standard,
band,,S1,SF,
concert,,S2,SF,
jazz,,S3,SF,
symphony,,S4,SF,
orchestra,,S5,SF,
rhythm,,S6,SF,
radio,,S7,SF,
melody,,S8,SF,
piano,,S9,SF,
sound,,S10,SF,
instrument,,S11,SF,
note,,S12,SF,
foam,,RR1,Standard,
latex,,RR2,Standard,
galoshes,,RR3,Standard,
tire,,RR4,Standard,
flexible,,RR5,Standard,
elastic,,RR6,Standard,
gloves,,RR7,Standard,
eraser,,RR8,Standard,
bounce,,RR9,Standard,
ball,,RR10,Standard,
soles,,RR11,Standard,
springy,,RR12,Standard,
toe,,B1,SF,
inch,,B2,SF,
ankle,,B3,SF,
shoe,,B4,SF,
sandals,,B5,SF,
sock,,B6,SF,
hand,,B7,SF,
boot,,B8,SF,
yard,,B9,SF,
kick,,B10,SF,
knee,,B11,SF,
walk,,B12,SF,
boy,,F1,Standard,
dolls,,F2,Standard,
pretty,,F3,Standard,
female,,F4,Standard,
dress,,F5,Standard,
date,,F6,Standard,
beautiful,,F7,Standard,
daughter,,F8,Standard,
sister,,F9,Standard,
cute,,F10,Standard,
niece,,F11,Standard,
young,,F12,Standard,
white,,SS1,SF,
gray,,SS2,SF,
brown,,SS3,SF,
coal,,SS4,SF,
dark,,SS5,SF,
color,,SS6,SF,
funeral,,SS7,SF,
blue,,SS8,SF,
charred,,SS9,SF,
ink,,SS10,SF,
death,,SS11,SF,
cat,,SS12,SF,
,sill,RECOG,List Item Control,
