"Username","Trial","Condition.Number","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response"
"56a930c711926500056e6eed",3,1,"Read","A","pane",NA,"Win_1",NA,NA,2,"Study","Window","Win_1",3792,""
"56a930c711926500056e6eed",4,1,"Read","A","sill",NA,"Win_2",NA,NA,3,"Study","Window","Win_2",2488,""
"56a930c711926500056e6eed",5,1,"Read","A","shutter",NA,"Win_3",NA,NA,4,"Study","Window","Win_3",2914,""
"56a930c711926500056e6eed",6,1,"Read","A","curtain",NA,"Win_4",NA,NA,5,"Study","Window","Win_4",2419,""
"56a930c711926500056e6eed",7,1,"Read","A","door",NA,"Win_5",NA,NA,6,"Study","Window","Win_5",2897,""
"56a930c711926500056e6eed",8,1,"Read","A","ledge",NA,"Win_6",NA,NA,7,"Study","Window","Win_6",1977,""
"56a930c711926500056e6eed",9,1,"Read","A","glass",NA,"Win_7",NA,NA,8,"Study","Window","Win_7",2488,""
"56a930c711926500056e6eed",10,1,"Read","A","view",NA,"Win_8",NA,NA,9,"Study","Window","Win_8",2372,""
"56a930c711926500056e6eed",11,1,"Read","A","screen",NA,"Win_9",NA,NA,10,"Study","Window","Win_9",2105,""
"56a930c711926500056e6eed",12,1,"Read","A","shade",NA,"Win_10",NA,NA,11,"Study","Window","Win_10",2461,""
"56a930c711926500056e6eed",13,1,"Read","A","open",NA,"Win_11",NA,NA,12,"Study","Window","Win_11",2550,""
"56a930c711926500056e6eed",14,1,"Read","A","frame",NA,"Win_12",NA,NA,13,"Study","Window","Win_12",2017,""
"56a930c711926500056e6eed",19,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60003,"ledge, window, door, sill, roof"
"56a930c711926500056e6eed",21,1,"Read","A","sandpaper",NA,"R1",NA,NA,14,"Study","Rough","R1",6593,""
"56a930c711926500056e6eed",22,1,"Read","A","smooth",NA,"R2",NA,NA,15,"Study","Rough","R2",3105,""
"56a930c711926500056e6eed",23,1,"Read","A","coarse",NA,"R3",NA,NA,16,"Study","Rough","R3",3079,""
"56a930c711926500056e6eed",24,1,"Read","A","tough",NA,"R4",NA,NA,17,"Study","Rough","R4",2861,""
"56a930c711926500056e6eed",25,1,"Read","A","rugged",NA,"R5",NA,NA,18,"Study","Rough","R5",5887,""
"56a930c711926500056e6eed",26,1,"Read","A","bumpy",NA,"R6",NA,NA,19,"Study","Rough","R6",4504,""
"56a930c711926500056e6eed",27,1,"Read","A","jagged",NA,"R7",NA,NA,20,"Study","Rough","R7",3835,""
"56a930c711926500056e6eed",28,1,"Read","A","riders",NA,"R8",NA,NA,21,"Study","Rough","R8",3650,""
"56a930c711926500056e6eed",29,1,"Read","A","uneven",NA,"R9",NA,NA,22,"Study","Rough","R9",4405,""
"56a930c711926500056e6eed",30,1,"Read","A","road",NA,"R10",NA,NA,23,"Study","Rough","R10",2333,""
"56a930c711926500056e6eed",31,1,"Read","A","ready",NA,"R11",NA,NA,24,"Study","Rough","R11",2460,""
"56a930c711926500056e6eed",32,1,"Read","A","sand",NA,"R12",NA,NA,25,"Study","Rough","R12",2119,""
"56a930c711926500056e6eed",37,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60003,"sandpaper, sand, rough, smooth, bumpy, rugged, jagged, "
"56a930c711926500056e6eed",39,1,"Read","A","rage",NA,"A1",NA,NA,26,"Study","Anger","A1",7800,""
"56a930c711926500056e6eed",40,1,"Read","A","mad",NA,"A2",NA,NA,27,"Study","Anger","A2",2578,""
"56a930c711926500056e6eed",41,1,"Read","A","enrage",NA,"A3",NA,NA,28,"Study","Anger","A3",1944,""
"56a930c711926500056e6eed",42,1,"Read","A","fury",NA,"A4",NA,NA,29,"Study","Anger","A4",2062,""
"56a930c711926500056e6eed",43,1,"Read","A","temper",NA,"A5",NA,NA,30,"Study","Anger","A5",3203,""
"56a930c711926500056e6eed",44,1,"Read","A","ire",NA,"A6",NA,NA,31,"Study","Anger","A6",3800,""
"56a930c711926500056e6eed",45,1,"Read","A","wrath",NA,"A7",NA,NA,32,"Study","Anger","A7",1761,""
"56a930c711926500056e6eed",46,1,"Read","A","mean",NA,"A8",NA,NA,33,"Study","Anger","A8",2328,""
"56a930c711926500056e6eed",47,1,"Read","A","hatred",NA,"A9",NA,NA,34,"Study","Anger","A9",2486,""
"56a930c711926500056e6eed",48,1,"Read","A","fight",NA,"A10",NA,NA,35,"Study","Anger","A10",2127,""
