"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"M20291305","Apple","Control",NA,"Control","Item_JOL",1
"M20323585","Apple","Control",NA,"Control","Item_JOL",1
"M20331432_JB","Apple","Control",NA,"Control","Item_JOL",1
"M40324880","Apple","Control",NA,"Control","Item_JOL",1
"M20276467","Apple","Control",NA,"Control","Item_JOL",1
"M20322694_ALB","Apple","Control",NA,"Control","Item_JOL",1
"20328171","Apple","Control",NA,"Control","Item_JOL",1
"M20276452_TBT","Apple","Control",NA,"Control","Item_JOL",1
"M20324618","Apple","Control",NA,"Control","Item_JOL",1
"M20309742","Apple","Control",NA,"Control","Item_JOL",1
"M20324775","Apple","Control",NA,"Control","Item_JOL",1
"M20276467","Attic","Control",NA,"Control","Item_JOL",1
"M20309742","Attic","Control",NA,"Control","Item_JOL",1
"M20291305","Attic","Control",NA,"Control","Item_JOL",1
"M20322694_ALB","Attic","Control",NA,"Control","Item_JOL",1
"M20324775","Attic","Control",NA,"Control","Item_JOL",1
"M20331432_JB","Attic","Control",NA,"Control","Item_JOL",1
"20328171","Attic","Control",NA,"Control","Item_JOL",1
"M20276452_TBT","Attic","Control",NA,"Control","Item_JOL",1
"M40324880","Attic","Control",NA,"Control","Item_JOL",1
"M20323585","Attic","Control",NA,"Control","Item_JOL",0
"M20324618","Attic","Control",NA,"Control","Item_JOL",1
"20328171","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20276452_TBT","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20324775","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20331432_JB","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20276467","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20291305","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20309742","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M40324880","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20323585","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20322694_ALB","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20324618","Ballet","Presented",NA,"Unrelated","Item_JOL",1
"M20291305","Banana","Control",NA,"Control","Item_JOL",1
"M20324775","Banana","Control",NA,"Control","Item_JOL",1
"20328171","Banana","Control",NA,"Control","Item_JOL",1
"M20276467","Banana","Control",NA,"Control","Item_JOL",1
"M20322694_ALB","Banana","Control",NA,"Control","Item_JOL",1
"M20309742","Banana","Control",NA,"Control","Item_JOL",1
"M20276452_TBT","Banana","Control",NA,"Control","Item_JOL",1
"M20331432_JB","Banana","Control",NA,"Control","Item_JOL",1
"M20324618","Banana","Control",NA,"Control","Item_JOL",1
