"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.Response","Direction","Encoding","scored"
"M20317208","Apple","Control","Presented","Control","Read",0
"M20316111_ARD","Apple","Control","Control","Control","Read",1
"20322440","Apple","Control","Control","Control","Read",1
"M20322809","Apple","Control","Control","Control","Read",1
"M20321393","Apple","Control","Presented","Control","Read",0
"m20319677","Apple","Control","Control","Control","Read",1
"M20304792_AEM","Apple","Control","Control","Control","Read",1
"20327605","Apple","Control","Control","Control","Read",1
"M20324255","Apple","Control","Presented","Control","Read",0
"M20322322","Apple","Control","Control","Control","Read",1
"M20323930","Apple","Control","Control","Control","Read",1
"M2033128","Apple","Control","Control","Control","Read",1
"M20320940","Apple","Control","Presented","Control","Read",0
"20327605","Attic","Control","Control","Control","Read",1
"20322440","Attic","Control","Control","Control","Read",1
"M20316111_ARD","Attic","Control","Control","Control","Read",1
"M20322809","Attic","Control","Control","Control","Read",1
"M2033128","Attic","Control","Control","Control","Read",1
"M20321393","Attic","Control","Control","Control","Read",1
"M20324255","Attic","Control","Control","Control","Read",1
"M20304792_AEM","Attic","Control","Control","Control","Read",1
"M20323930","Attic","Control","Control","Control","Read",1
"m20319677","Attic","Control","Control","Control","Read",1
"M20317208","Attic","Control","Control","Control","Read",1
"M20322322","Attic","Control","Control","Control","Read",1
"M20320940","Attic","Control","Control","Control","Read",1
"M20304792_AEM","Ballet","Presented","Presented","Unrelated","Read",1
"M20317208","Ballet","Presented","Presented","Unrelated","Read",1
"20327605","Ballet","Presented","Control","Unrelated","Read",0
"M20321393","Ballet","Presented","Control","Unrelated","Read",0
"M2033128","Ballet","Presented","Presented","Unrelated","Read",1
"M20322809","Ballet","Presented","Presented","Unrelated","Read",1
"20322440","Ballet","Presented","Control","Unrelated","Read",0
"M20323930","Ballet","Presented","Presented","Unrelated","Read",1
"M20322322","Ballet","Presented","Presented","Unrelated","Read",1
"M20320940","Ballet","Presented","Presented","Unrelated","Read",1
"M20324255","Ballet","Presented","Presented","Unrelated","Read",1
"m20319677","Ballet","Presented","Control","Unrelated","Read",0
"M20316111_ARD","Ballet","Presented","Presented","Unrelated","Read",1
"20327605","Banana","Control","Control","Control","Read",1
"M20321393","Banana","Control","Control","Control","Read",1
"M2033128","Banana","Control","Control","Control","Read",1
"M20324255","Banana","Control","Control","Control","Read",1
"M20323930","Banana","Control","Presented","Control","Read",0
"M20322809","Banana","Control","Control","Control","Read",1
"M20304792_AEM","Banana","Control","Control","Control","Read",1
"M20316111_ARD","Banana","Control","Control","Control","Read",1
"M20322322","Banana","Control","Control","Control","Read",1
"m20319677","Banana","Control","Control","Control","Read",1
"20322440","Banana","Control","Control","Control","Read",1
"M20320940","Banana","Control","Control","Control","Read",1
"M20317208","Banana","Control","Control","Control","Read",1
"20322440","Basement","Control","Control","Control","Read",1
"M20322322","Basement","Control","Control","Control","Read",1
"m20319677","Basement","Control","Control","Control","Read",1
"M2033128","Basement","Control","Control","Control","Read",1
"M20322809","Basement","Control","Control","Control","Read",1
"20327605","Basement","Control","Control","Control","Read",1
"M20304792_AEM","Basement","Control","Presented","Control","Read",0
"M20321393","Basement","Control","Control","Control","Read",1
"M20320940","Basement","Control","Control","Control","Read",1
"M20317208","Basement","Control","Control","Control","Read",1
"M20324255","Basement","Control","Control","Control","Read",1
"M20316111_ARD","Basement","Control","Presented","Control","Read",0
"M20323930","Basement","Control","Control","Control","Read",1
"M20320940","Basket","Control","Control","Control","Read",1
"20327605","Basket","Control","Control","Control","Read",1
"M20317208","Basket","Control","Control","Control","Read",1
"20322440","Basket","Control","Control","Control","Read",1
"M20323930","Basket","Control","Control","Control","Read",1
"M20316111_ARD","Basket","Control","Control","Control","Read",1
"M20304792_AEM","Basket","Control","Control","Control","Read",1
"M20324255","Basket","Control","Control","Control","Read",1
"M20322809","Basket","Control","Presented","Control","Read",0
"M20321393","Basket","Control","Control","Control","Read",1
"M2033128","Basket","Control","Control","Control","Read",1
"m20319677","Basket","Control","Control","Control","Read",1
"M20322322","Basket","Control","Control","Control","Read",1
"M20304792_AEM","Bathroom","Control","Control","Control","Read",1
"M2033128","Bathroom","Control","Control","Control","Read",1
"M20322809","Bathroom","Control","Control","Control","Read",1
"M20316111_ARD","Bathroom","Control","Presented","Control","Read",0
"m20319677","Bathroom","Control","Presented","Control","Read",0
"M20324255","Bathroom","Control","Control","Control","Read",1
"20322440","Bathroom","Control","Control","Control","Read",1
"M20323930","Bathroom","Control","Control","Control","Read",1
"M20320940","Bathroom","Control","Presented","Control","Read",0
"M20317208","Bathroom","Control","Control","Control","Read",1
"20327605","Bathroom","Control","Control","Control","Read",1
"M20322322","Bathroom","Control","Control","Control","Read",1
"M20321393","Bathroom","Control","Control","Control","Read",1
"M20322809","Bean","Control","Control","Control","Read",1
"M20320940","Bean","Control","Control","Control","Read",1
"M2033128","Bean","Control","Control","Control","Read",1
"M20304792_AEM","Bean","Control","Control","Control","Read",1
"M20323930","Bean","Control","Presented","Control","Read",0
"M20324255","Bean","Control","Control","Control","Read",1
"20327605","Bean","Control","Presented","Control","Read",0
"M20316111_ARD","Bean","Control","Control","Control","Read",1
"m20319677","Bean","Control","Control","Control","Read",1
"M20321393","Bean","Control","Control","Control","Read",1
"M20322322","Bean","Control","Control","Control","Read",1
"M20317208","Bean","Control","Control","Control","Read",1
"20322440","Bean","Control","Control","Control","Read",1
"M20323930","Bear","Presented","Presented","Related","Read",1
"M20324255","Bear","Presented","Control","Related","Read",0
"M20316111_ARD","Bear","Presented","Control","Related","Read",0
"M20317208","Bear","Presented","Presented","Related","Read",1
"20322440","Bear","Presented","Presented","Related","Read",1
"m20319677","Bear","Presented","Presented","Related","Read",1
"M20304792_AEM","Bear","Presented","Control","Related","Read",0
"M20322809","Bear","Presented","Presented","Related","Read",1
"M20320940","Bear","Presented","Control","Related","Read",0
"20327605","Bear","Presented","Presented","Related","Read",1
"M20321393","Bear","Presented","Control","Related","Read",0
"M20322322","Bear","Presented","Presented","Related","Read",1
"M2033128","Bear","Presented","Presented","Related","Read",1
"20327605","Bed","Control","Control","Control","Read",1
"M20322809","Bed","Control","Presented","Control","Read",0
"M20323930","Bed","Control","Control","Control","Read",1
"20322440","Bed","Control","Control","Control","Read",1
"M20322322","Bed","Control","Control","Control","Read",1
"M20304792_AEM","Bed","Control","Control","Control","Read",1
"M2033128","Bed","Control","Control","Control","Read",1
"M20324255","Bed","Control","Control","Control","Read",1
"M20317208","Bed","Control","Control","Control","Read",1
"M20320940","Bed","Control","Control","Control","Read",1
"M20321393","Bed","Control","Control","Control","Read",1
"m20319677","Bed","Control","Control","Control","Read",1
