Experiment,Direction,Task,Average,Upper,Lower
1,C,IJOL,0.71,0.75,0.67
1,U,IJOL,0.48,0.54,0.42
1,C,GJOL,0.76,0.81,0.71
1,U,GJOL,0.58,0.65,0.51
1,C,Read,0.68,0.72,0.64
1,U,Read,0.55,0.6,0.5
2,C,IJOL,0.91,0.95,0.87
2,U,IJOL,0.87,0.91,0.83
2,N,IJOL,0.11,0.15,0.07
2,C,GJOL,0.83,0.87,0.79
2,U,GJOL,0.68,0.74,0.62
2,N,GJOL,0.14,0.18,0.1
2,C,Read,0.81,0.86,0.76
2,U,Read,0.65,0.71,0.59
2,N,Read,0.21,0.27,0.15
