"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Apple","R1",1
"Orange","R1",2
"Banana","R1",3
"Grape","R1",4
"Pear","R1",5
"Peach","R1",6
"Strawberry","R1",7
"Kiwi","R1",8
"Plum","R1",9
"Mango","R1",10
"Cherry","R1",11
"Lemon","R1",12
