"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Rifle","U1",13
"Mayor","U1",14
"Student","U1",15
"Hockey","U1",16
"Pants","U1",17
"Oxygen","U1",18
"Guitar","U1",19
"Dollar","U1",20
"Parrot","U1",21
"Milk","U1",22
"Jeep","U1",23
"Ballet","U1",24
