"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Ceiling","R2",25
"Basement","R2",26
"Bathroom","R2",27
"Window","R2",28
"Wall","R2",29
"Door","R2",30
"Floor","R2",31
"Stairs","R2",32
"Elevator","R2",33
"Attic","R2",34
"Hallway","R2",35
"Roof","R2",36
