"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Valley","R1",1
"River","R1",2
"Canyon","R1",3
"Volcano","R1",4
"Rock","R1",5
"Hill","R1",6
"Mountain","R1",7
"Ocean","R1",8
"Island","R1",9
"Lake","R1",10
"Cave","R1",11
"Glacier","R1",12
