"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Frog","U1",13
"Bed","U1",14
"Document","U1",15
"Dirt","U1",16
"Mint","U1",17
"Shirt","U1",18
"Yellow","U1",19
"Kayak","U1",20
"Flea","U1",21
"Bean","U1",22
"Slow","U1",23
"Hawk","U1",24
