"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Card","U2",37
"Flute","U2",38
"Salt","U2",39
"Cloud","U2",40
"Basket","U2",41
"Cook","U2",42
"Fossil","U2",43
"Mother","U2",44
"Drill","U2",45
"Tent","U2",46
"Phone","U2",47
"Rest","U2",48
