"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Tiger","R2",25
"Lion","R2",26
"Zebra","R2",27
"Cheetah","R2",28
"Wolf","R2",29
"Goat","R2",30
"Girraffe","R2",31
"Elephant","R2",32
"Cat","R2",33
"Donkey","R2",34
"Bear","R2",35
"Cow","R2",36
