"Stimuli.Cue","Stimuli.Shuffle","Stimuli.Value"
"Sandal","U2",37
"Fly","U2",38
"Tulip","U2",39
"Cold","U2",40
"Blue","U2",41
"Cruise","U2",42
"Shark","U2",43
"Viper","U2",44
"Tea","U2",45
"Lipstick","U2",46
"Computer","U2",47
"Eye","U2",48
