"Username","Related","Unrelated","encoding"
"543e85adfdf99b7356902e90",42.25,41.0416666666667,"item"
"55d4d11258c35800113dc2ab",68.75,39.4583333333333,"item"
"561487ad7ffc8a0012812266",53.5416666666667,44.375,"item"
"5788c16f275be600013590a8",62.625,65.9130434782609,"item"
"5858c6178604ae000165e66a",41.4166666666667,45.0833333333333,"item"
"58f93198dbfafa0001d227c9",72.9166666666667,58.3333333333333,"item"
"5cd633b904748d001a19f092",77.0416666666667,77.25,"item"
"5d8a29c082fec30001d9c24a",56.0416666666667,47.375,"item"
"5da6b2aca2860400146b8ace",52.2916666666667,43.9166666666667,"item"
"5e29fd5f2bec3b065e9a729e",97.25,92.0833333333333,"item"
"5e42fc295135b5000cd20d0b",75.9583333333333,80.2083333333333,"item"
"5e4438c766f95e2bcccc2548",48.125,45.2083333333333,"item"
"5e49f30e8459a1469b1950e5",56.7916666666667,58,"item"
"5ea32a0ea7b59a0c92e82ac8",77.5,48.375,"item"
"5f12178ab3ab9d046595ce66",47.7083333333333,50.625,"item"
"5f24978b3b9626088ac0eeb7",61.1666666666667,62.6666666666667,"item"
"5f24a57c030da70af5ffd2bf",66.875,56.6666666666667,"item"
"5fb2e72ac95e4c9ab7a082da",75.4166666666667,61.25,"item"
"5fc653586deb34268015308a",31.4166666666667,9.75,"item"
"5fdcd228539a382bc5e9fae5",86.0833333333333,76.5416666666667,"item"
"600d14cfdc7ef74ca39fd9ed",61.625,59.9166666666667,"item"
"6085bf84bb0ce00524154c60",53.9583333333333,42.0833333333333,"item"
"60c20992212adb0a37fb5259",58.75,58.9166666666667,"item"
"60d8f1c24c86aa4d0b23bf4e",62.5,63.75,"item"
"610453aa4fc6ac47f96ddeea",80.8333333333333,76.875,"item"
"6266a888ce0c626836c91bc6",51.125,50,"item"
"62714a240ed387f760f6741b",54.5833333333333,48.75,"item"
"62b1ed31eaaaa61b18c69032",56.6666666666667,54.1666666666667,"item"
"637545d6428d85daeedc3df5",66.4583333333333,57.0833333333333,"item"
"63e51e063af1cc5baf0c72ca",56.5833333333333,37.7083333333333,"item"
"63e6378e04ade071ebf9ff9c",71.7391304347826,62.5,"item"
"63f7dc10de20707c3dff50b4",66.6666666666667,22.375,"item"
"640103805957bbf6a1326ed0",34.4347826086956,20.9166666666667,"item"
"6413a4a1a6e064ffb173f1ce",90.8333333333333,76.875,"item"
"6441204e8a1c0c51415ce0f8",44,34.2083333333333,"item"
"651b249337102ada9fee4951",57.5,54.1666666666667,"item"
"652d5dcfbf51f8f449531f8d",44.375,24.5833333333333,"item"
"653b9ed2c4b3466a16bc6e05",70.2608695652174,62.7083333333333,"item"
"654455de70d56539c9d7584e",42.4583333333333,26.4583333333333,"item"
"654aa136887e2fe9be670acf",59.375,53.8695652173913,"item"
"65524c24f1e5b5a1d8f24c84",81.0416666666667,69.7916666666667,"item"
"657682c4146b125e4f8d8c1d",41.6666666666667,35.8333333333333,"item"
"657f60cb12d4254e4dc7374f",58.7083333333333,55.4166666666667,"item"
"5671927473f58b000d664293",80,42.5,"global"
"56a38b45dbe850000cfd50c3",45,5,"global"
"56cb314508d7300005fd312a",40,55,"global"
"576d8e821a48240001867c54",80,65,"global"
"57db00fcb9fb6f0001dda512",40,35,"global"
"58c8497430c4cf0001ce9caf",55,29,"global"
"5a993b151eda410001365a23",3.5,5,"global"
"5b14898a30d562000155f1e9",37.5,17.5,"global"
"5b4d41e13d01bd0001ec46c2",100,100,"global"
"5b99663d4cefb60001e7a214",31,12.5,"global"
"5bfdd2bc11e618000158834f",20,30,"global"
"5c4e5f2ae5f00f0001542748",12.5,15.5,"global"
"5cee69353057030001b33fc4",20,0,"global"
"5dec6a96da522335df62a1b5",80,70,"global"
"5e45fd328bd52c0ec7b4328e",75,45,"global"
"5e76d2652d882b2481d65066",77.5,55,"global"
"5eb983034987d1074b5232ce",40,47.5,"global"
"5ecbfc627a51250bfb1f297f",82.5,50,"global"
"5edd17ac9e50c2a065687da4",50,30,"global"
"5f4157879935a52e2f3057ab",67.5,40,"global"
"603d8785babbb5cf8cd518be",50,35,"global"
"60c9fcbb6090f57f63cdbebf",50,45,"global"
"60fc14b7339c9fc0dc0ab317",50,50,"global"
"61002db58920b51da825d9e8",80,77.5,"global"
"611ac17a9d585411a2314882",40,40,"global"
"612f4efe7a2e36e60e3254a7",75,40,"global"
"627ab87b18dedc5ab2992a61",18,32.5,"global"
"62b4a72f7bad9f1e3babd277",62.5,30,"global"
"62fbe4c86d484357b6adbc36",20,20,"global"
"6347200d8ded5172ec43e0bb",15,50,"global"
"63af557b3d4f219c3226b7d6",25,20,"global"
"63c58429db2b7daf0f67d60d",77.5,65,"global"
"63e5eb956eab1f2740ac6289",30,20,"global"
"63fbd3e8b4865c6e1fb04614",75,80,"global"
"646d09329a9be6926ff22bed",90.5,96,"global"
"64f43f017c6a342448feeeb6",90,50,"global"
"6501b789e3ddbc0a0b79b925",75.5,75,"global"
"650f1cffdfb4dd61f51abefd",100,75,"global"
"652414a8df1d3adfddec9600",15,20,"global"
"6543f7e306c0fc611aafc81d",55,40,"global"
"6546864c9ab951bb512b0694",90,60,"global"
"6563003ce4f5a268a959df06",NA,75,"global"
"6567ae0e8905da3905e013bf",90,90,"global"
"65730b470b3ff6af4dfe899d",80,NA,"global"
