Cue,Answer,Shuffle,Stimuli Notes,Value
pane,,Win_1,SF,
sill,,Win_2,SF,
shutter,,Win_3,SF,
curtain,,Win_4,SF,
door,,Win_5,SF,
ledge,,Win_6,SF,
glass,,Win_7,SF,
view,,Win_8,SF,
screen,,Win_9,SF,
shade,,Win_10,SF,
open,,Win_11,SF,
frame,,Win_12,SF,
sandpaper,,R1,Standard,
smooth,,R2,Standard,
coarse,,R3,Standard,
tough,,R4,Standard,
rugged,,R5,Standard,
bumpy,,R6,Standard,
jagged,,R7,Standard,
riders,,R8,Standard,
uneven,,R9,Standard,
road,,R10,Standard,
ready,,R11,Standard,
sand,,R12,Standard,
rage,,A1,SF,
mad,,A2,SF,
enrage,,A3,SF,
fury,,A4,SF,
temper,,A5,SF,
ire,,A6,SF,
wrath,,A7,SF,
mean,,A8,SF,
hatred,,A9,SF,
fight,,A10,SF,
hate,,A11,SF,
fear,,A12,SF,
garbage,,T1,Standard,
rubbish,,T2,Standard,
debris,,T3,Standard,
dump,,T4,Standard,
litter,,T5,Standard,
landfill,,T6,Standard,
junk,,T7,Standard,
waste,,T8,Standard,
sewage,,T9,Standard,
pile,,T10,Standard,
scraps,,T11,Standard,
refuse,,T12,Standard,
physician,,D1,SF,
nurse,,D2,SF,
stethoscope,,D3,SF,
surgeon,,D4,SF,
patient,,D5,SF,
clinic,,D6,SF,
dentist,,D7,SF,
medicine,,D8,SF,
lawyer,,D9,SF,
health,,D10,SF,
sick,,D11,SF,
cure,,D12,SF,
fast,,S1,Standard,
snail,,S2,Standard,
turtle,,S3,Standard,
sluggish,,S4,Standard,
quick,,S5,Standard,
molasses,,S6,Standard,
lethargic,,S7,Standard,
speed,,S8,Standard,
delay,,S9,Standard,
hesitant,,S10,Standard,
cautious,,S11,Standard,
traffic,,S12,Standard,
mississippi,,RR1,SF,
creek,,RR2,SF,
stream,,RR3,SF,
flow,,RR4,SF,
bridge,,RR5,SF,
brook,,RR6,SF,
lake,,RR7,SF,
barge,,RR8,SF,
water,,RR9,SF,
boat,,RR10,SF,
tide,,RR11,SF,
swim,,RR12,SF,
rye,,B1,Standard,
loaf,,B2,Standard,
butter,,B3,Standard,
toast,,B4,Standard,
dough,,B5,Standard,
crust,,B6,Standard,
flour,,B7,Standard,
sandwich,,B8,Standard,
jam,,B9,Standard,
jelly,,B10,Standard,
slice,,B11,Standard,
milk,,B12,Standard,
banner,,F1,SF,
checkered,,F2,SF,
american,,F3,SF,
stripes,,F4,SF,
pole,,F5,SF,
anthem,,F6,SF,
emblem,,F7,SF,
national,,F8,SF,
freedom,,F9,SF,
symbol,,F10,SF,
wave,,F11,SF,
stars,,F12,SF,
blouse,,SS1,Standard,
sleeves,,SS2,Standard,
collar,,SS3,Standard,
shorts,,SS4,Standard,
button,,SS5,Standard,
pants,,SS6,Standard,
polo,,SS7,Standard,
jersey,,SS8,Standard,
vest,,SS9,Standard,
cuffs,,SS10,Standard,
tie,,SS11,Standard,
pocket,,SS12,Standard,
