Categorized,Freq,Length,Con,Uncategorized,Freq,Length,Con
Valley,3.1059,6,6.66,Rifle,2.8716,5,6.04
River,3.4518,5,5.83,Mayor,3.203,5,4.75
Canyon,2.6222,6,NA,Student,3.3416,7,6.38
Volcano,2.233,7,6.83,Hockey,2.7701,6,5.23
Rock,3.643,4,6.03,Pants,3.4767,5,6.15
Hill,3.2824,4,6.02,Oxygen,2.8506,6,5.43
Mountain,3.2567,8,6.25,Guitar,2.9009,6,6.73
Ocean,3.1892,5,5.63,Dollar,3.1495,6,5.68
Island,3.3051,6,6.4,Parrot,2.2253,6,6.28
Lake,3.2641,4,5.7,Milk,3.3365,4,6.66
Cave,2.8537,4,5.79,Jeep,2.7202,4,6.09
Glacier,1.5911,7,6.93,Ballet,2.7193,6,5.23
Tiger,2.9759,5,6.07,Sandal,1.0792,6,NA
Lion,2.8943,4,6.14,Fly,3.6371,3,5.14
Zebra,2.1106,5,6.52,Tulip,1.6128,5,6.05
Cheetah,2.0719,7,NA,Cold,3.8221,4,4.67
Wolf,3.0149,4,NA,Blue,3.7179,4,4.49
Goat,2.7308,4,6.22,Cruise,2.7973,6,5.23
Girraffe,NA,8,NA,Shark,2.8837,5,5.98
Elephant,2.7642,8,7,Viper,2.1139,5,NA
Cat,3.5294,3,6.21,Tea,3.4758,3,6.05
Donkey,2.4378,6,6.67,Lipstick,2.6532,8,NA
Bear,3.4667,4,5.81,Computer,3.4789,8,6.15
Cow,3.1146,3,6.12,Eye,3.756,3,6.28
Apple,3.0821,5,7,Frog,2.781,4,6.96
Orange,3.0565,6,5.74,Bed,3.9797,3,6.59
Banana,2.7388,6,6.29,Document,2.7126,8,NA
Grape,2.3118,5,5.85,Dirt,3.1176,4,5.51
Pear,1.8388,4,6.3,Mint,2.444,4,NA
Peach,2.5119,5,6.05,Shirt,3.374,5,6.05
Strawberry,2.4518,10,7,Yellow,3.2368,6,5.18
Kiwi,1.6128,4,NA,Kayak,1.4314,5,NA
Plum,2.243,4,6.18,Flea,2.2304,4,6.12
Mango,1.9294,5,NA,Bean,2.5441,4,6
Cherry,2.8414,6,5.86,Slow,3.5886,4,2.89
Lemon,2.7882,5,5.98,Hawk,2.8136,4,6.1
Ceiling,2.6304,7,6.02,Card,3.6393,4,5.61
Basement,3.0314,8,6.83,Flute,2.0374,5,5.66
Bathroom,3.4978,8,NA,Salt,2.9983,4,5.69
Window,3.6422,6,6.27,Cloud,2.7782,5,5.42
Wall,3.557,4,5.85,Basket,2.828,6,5.93
Door,4.1731,4,5.95,Cook,3.3664,4,4.91
Floor,3.7104,5,5.47,Fossil,1.9031,6,NA
Stairs,3.0839,6,5.54,Mother,4.3888,6,5.47
Elevator,3.0955,8,6.23,Drill,2.8463,5,5.12
Attic,2.6031,5,NA,Tent,2.9509,4,5.79
Hallway,2.6884,7,5.54,Phone,4.1385,5,6.02
Roof,3.2598,4,5.82,Rest,4.0359,4,3.48
,,,,,,,
MEAN,2.878485106,5.5,6.165,,2.974127083,4.979166667,5.638780488
SD,0.573241908,1.584499384,0.429865811,,0.69759882,1.263052421,0.802524751
