Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD
a,1041179,8382,976941,8380,20415.27,6.0175,99.93,3.9234
Aa,87,70,6,5,1.71,1.9445,0.83,1.8513
Aaa,25,23,5,3,0.49,1.415,0.27,1.3802
Aah,2688,634,52,37,52.71,3.4296,7.56,2.8028
aahed,1,1,1,1,0.02,0.301,0.01,0.301
aahing,2,2,2,2,0.04,0.4771,0.02,0.4771
aahs,5,4,5,4,0.1,0.7782,0.05,0.699
aal,1,1,1,1,0.02,0.301,0.01,0.301
aardvark,21,12,14,8,0.41,1.3424,0.14,1.1139
Aargh,33,26,2,1,0.65,1.5315,0.31,1.4314
Aaron,747,162,0,0,14.65,2.8739,1.93,2.2122
Aarrgh,1,1,0,0,0.02,0.301,0.01,0.301
Aarrghh,1,1,0,0,0.02,0.301,0.01,0.301
aas,2,2,1,1,0.04,0.4771,0.02,0.4771
Ab,75,51,17,15,1.47,1.8808,0.61,1.716
Aba,4,4,1,1,0.08,0.699,0.05,0.699
Abaca,1,1,0,0,0.02,0.301,0.01,0.301
aback,15,15,15,15,0.29,1.2041,0.18,1.2041
abacus,12,10,10,9,0.24,1.1139,0.12,1.0414
Abacuses,1,1,0,0,0.02,0.301,0.01,0.301
Abaddon,10,4,0,0,0.2,1.0414,0.05,0.699
abaft,2,1,2,1,0.04,0.4771,0.01,0.301
abalone,26,11,14,9,0.51,1.4314,0.13,1.0792
Abalones,6,2,1,1,0.12,0.8451,0.02,0.4771
abandon,413,312,345,281,8.1,2.617,3.72,2.4955
abandoned,678,538,650,522,13.29,2.8319,6.41,2.7316
abandoner,1,1,1,1,0.02,0.301,0.01,0.301
abandoning,86,79,84,77,1.69,1.9395,0.94,1.9031
abandonment,49,45,45,41,0.96,1.699,0.54,1.6628
abandons,14,14,14,14,0.27,1.1761,0.17,1.1761
abase,3,3,2,2,0.06,0.6021,0.04,0.6021
Abastard,1,1,0,0,0.02,0.301,0.01,0.301
abate,5,3,5,3,0.1,0.7782,0.04,0.6021
abated,4,4,4,4,0.08,0.699,0.05,0.699
abatement,3,3,3,3,0.06,0.6021,0.04,0.6021
abates,2,2,2,2,0.04,0.4771,0.02,0.4771
abating,1,1,1,1,0.02,0.301,0.01,0.301
abattoir,7,5,4,4,0.14,0.9031,0.06,0.7782
Abay,3,1,0,0,0.06,0.6021,0.01,0.301
Abb,3,3,0,0,0.06,0.6021,0.04,0.6021
Abba,9,8,0,0,0.18,1,0.1,0.9542
Abbas,5,2,0,0,0.1,0.7782,0.02,0.4771
Abbe,2,2,0,0,0.04,0.4771,0.02,0.4771
abbess,2,2,1,1,0.04,0.4771,0.02,0.4771
abbesses,1,1,1,1,0.02,0.301,0.01,0.301
Abbey,162,53,45,20,3.18,2.2122,0.63,1.7324
Abbot,43,24,18,9,0.84,1.6435,0.29,1.3979
Abbott,401,130,1,1,7.86,2.6042,1.55,2.1173
abbreviate,1,1,1,1,0.02,0.301,0.01,0.301
abbreviated,16,14,14,13,0.31,1.2304,0.17,1.1761
abbreviation,12,8,12,8,0.24,1.1139,0.1,0.9542
abbreviations,10,8,10,8,0.2,1.0414,0.1,0.9542
Abby,637,102,0,0,12.49,2.8048,1.22,2.0128
Abc,124,92,0,0,2.43,2.0969,1.1,1.9685
Abd,1,1,0,0,0.02,0.301,0.01,0.301
abdicate,9,9,9,9,0.18,1,0.11,1
abdicated,7,7,7,7,0.14,0.9031,0.08,0.9031
abdicates,1,1,1,1,0.02,0.301,0.01,0.301
Abdicating,3,3,1,1,0.06,0.6021,0.04,0.6021
abdication,6,6,5,5,0.12,0.8451,0.07,0.8451
abdomen,171,122,152,116,3.35,2.2355,1.45,2.0899
abdomens,3,3,3,3,0.06,0.6021,0.04,0.6021
abdominal,174,104,149,94,3.41,2.243,1.24,2.0212
abdominals,7,7,7,7,0.14,0.9031,0.08,0.9031
abduct,36,32,36,32,0.71,1.5682,0.38,1.5185
abducted,255,176,250,175,5,2.4082,2.1,2.248
abductee,20,11,20,11,0.39,1.3222,0.13,1.0792
abductees,18,13,15,11,0.35,1.2788,0.15,1.1461
abducting,16,13,15,13,0.31,1.2304,0.15,1.1461
abduction,185,111,179,109,3.63,2.2695,1.32,2.0492
abductions,42,22,42,22,0.82,1.6335,0.26,1.3617
abductor,18,13,16,13,0.35,1.2788,0.15,1.1461
abductors,11,8,11,8,0.22,1.0792,0.1,0.9542
abducts,8,8,7,7,0.16,0.9542,0.1,0.9542
abeam,7,4,7,4,0.14,0.9031,0.05,0.699
abed,10,9,6,6,0.2,1.0414,0.11,1
Abel,68,24,2,2,1.33,1.8388,0.29,1.3979
abele,1,1,1,1,0.02,0.301,0.01,0.301
Abend,9,6,0,0,0.18,1,0.07,0.8451
Aberdeen,17,12,0,0,0.33,1.2553,0.14,1.1139
Abernethy,1,1,0,0,0.02,0.301,0.01,0.301
aberrant,15,13,15,13,0.29,1.2041,0.15,1.1461
aberration,28,26,28,26,0.55,1.4624,0.31,1.4314
aberrations,8,8,8,8,0.16,0.9542,0.1,0.9542
abet,5,5,5,5,0.1,0.7782,0.06,0.7782
abetted,8,8,8,8,0.16,0.9542,0.1,0.9542
abetting,26,25,25,24,0.51,1.4314,0.3,1.415
abettor,1,1,1,1,0.02,0.301,0.01,0.301
abeyance,2,2,2,2,0.04,0.4771,0.02,0.4771
abhor,12,12,12,12,0.24,1.1139,0.14,1.1139
abhorred,7,7,7,7,0.14,0.9031,0.08,0.9031
abhorrent,9,9,9,9,0.18,1,0.11,1
abhors,4,3,4,3,0.08,0.699,0.04,0.6021
abide,138,124,133,120,2.71,2.143,1.48,2.0969
abided,3,2,3,2,0.06,0.6021,0.02,0.4771
abiders,1,1,1,1,0.02,0.301,0.01,0.301
abides,4,3,4,3,0.08,0.699,0.04,0.6021
abiding,25,24,24,23,0.49,1.415,0.29,1.3979
Abigail,154,43,0,0,3.02,2.1903,0.51,1.6435
Abilene,68,30,0,0,1.33,1.8388,0.36,1.4914
abilities,312,209,306,208,6.12,2.4955,2.49,2.3222
ability,980,679,974,673,19.22,2.9917,8.09,2.8325
Abiogenist,3,1,0,0,0.06,0.6021,0.01,0.301
Abit,1,1,0,0,0.02,0.301,0.01,0.301
abject,20,20,17,17,0.39,1.3222,0.24,1.3222
abjectly,3,3,3,3,0.06,0.6021,0.04,0.6021
abjure,1,1,1,1,0.02,0.301,0.01,0.301
ablate,1,1,1,1,0.02,0.301,0.01,0.301
ablated,1,1,1,1,0.02,0.301,0.01,0.301
ablation,1,1,1,1,0.02,0.301,0.01,0.301
ablaze,21,19,20,18,0.41,1.3424,0.23,1.301
able,8155,4285,8048,4258,159.9,3.9115,51.08,3.6321
abler,1,1,1,1,0.02,0.301,0.01,0.301
ablest,2,2,2,2,0.04,0.4771,0.02,0.4771
abloom,3,1,3,1,0.06,0.6021,0.01,0.301
ablution,3,2,2,1,0.06,0.6021,0.02,0.4771
ablutions,4,3,4,3,0.08,0.699,0.04,0.6021
ably,9,9,9,9,0.18,1,0.11,1
Abner,172,16,0,0,3.37,2.238,0.19,1.2304
abnormal,148,128,133,115,2.9,2.1732,1.53,2.1106
abnormalities,25,23,24,22,0.49,1.415,0.27,1.3802
abnormality,26,20,26,20,0.51,1.4314,0.24,1.3222
abnormally,20,19,18,18,0.39,1.3222,0.23,1.301
abnormity,1,1,1,1,0.02,0.301,0.01,0.301
abo,6,6,5,5,0.12,0.8451,0.07,0.8451
aboard,1358,709,1335,706,26.63,3.1332,8.45,2.8513
abode,33,31,33,31,0.65,1.5315,0.37,1.5051
abogado,2,2,2,2,0.04,0.4771,0.02,0.4771
abolish,24,21,23,20,0.47,1.3979,0.25,1.3424
abolished,20,18,19,17,0.39,1.3222,0.21,1.2788
abolishes,1,1,1,1,0.02,0.301,0.01,0.301
abolishing,2,2,2,2,0.04,0.4771,0.02,0.4771
abolition,10,8,10,8,0.2,1.0414,0.1,0.9542
abolitionism,1,1,1,1,0.02,0.301,0.01,0.301
abolitionist,11,7,11,7,0.22,1.0792,0.08,0.9031
abolitionists,13,4,12,4,0.25,1.1461,0.05,0.699
abomasum,1,1,1,1,0.02,0.301,0.01,0.301
abominable,32,25,25,20,0.63,1.5185,0.3,1.415
abominably,8,8,7,7,0.16,0.9542,0.1,0.9542
abominate,3,2,3,2,0.06,0.6021,0.02,0.4771
abomination,58,47,53,46,1.14,1.7709,0.56,1.6812
abominations,7,7,7,7,0.14,0.9031,0.08,0.9031
aboriginal,9,9,8,8,0.18,1,0.11,1
Aboriginally,1,1,0,0,0.02,0.301,0.01,0.301
Aboriginals,1,1,0,0,0.02,0.301,0.01,0.301
aborigine,4,4,4,4,0.08,0.699,0.05,0.699
aborigines,9,8,5,4,0.18,1,0.1,0.9542
aborning,1,1,1,1,0.02,0.301,0.01,0.301
Abort,235,118,117,81,4.61,2.3729,1.41,2.0755
aborted,32,29,31,28,0.63,1.5185,0.35,1.4771
aborting,13,11,10,9,0.25,1.1461,0.13,1.0792
abortion,369,155,354,149,7.24,2.5682,1.85,2.1931
abortionist,4,4,4,4,0.08,0.699,0.05,0.699
abortionists,1,1,1,1,0.02,0.301,0.01,0.301
abortions,35,28,34,27,0.69,1.5563,0.33,1.4624
abortive,1,1,1,1,0.02,0.301,0.01,0.301
Abortively,1,1,0,0,0.02,0.301,0.01,0.301
aborts,1,1,1,1,0.02,0.301,0.01,0.301
abound,18,16,18,16,0.35,1.2788,0.19,1.2304
abounded,3,3,3,3,0.06,0.6021,0.04,0.6021
abounding,4,3,4,3,0.08,0.699,0.04,0.6021
abounds,10,10,10,10,0.2,1.0414,0.12,1.0414
about,185206,8321,179962,8313,3631.49,5.2677,99.2,3.9202
abouts,8,8,8,8,0.16,0.9542,0.1,0.9542
above,2493,1778,2350,1703,48.88,3.3969,21.2,3.2502
aboveboard,14,13,14,13,0.27,1.1761,0.15,1.1461
aboveground,7,7,6,6,0.14,0.9031,0.08,0.9031
abovementioned,1,1,1,1,0.02,0.301,0.01,0.301
Abracadabra,53,26,10,8,1.04,1.7324,0.31,1.4314
abrade,1,1,1,1,0.02,0.301,0.01,0.301
abraded,5,5,4,4,0.1,0.7782,0.06,0.7782
Abraham,264,140,3,1,5.18,2.4232,1.67,2.1492
abraid,1,1,1,1,0.02,0.301,0.01,0.301
abrasion,18,15,15,13,0.35,1.2788,0.18,1.2041
abrasions,56,50,52,47,1.1,1.7559,0.6,1.7076
abrasive,23,22,21,20,0.45,1.3802,0.26,1.3617
abrasiveness,2,1,2,1,0.04,0.4771,0.01,0.301
abrasives,4,1,4,1,0.08,0.699,0.01,0.301
Abraxas,29,3,0,0,0.57,1.4771,0.04,0.6021
abreaction,1,1,1,1,0.02,0.301,0.01,0.301
abreast,26,25,26,25,0.51,1.4314,0.3,1.415
abridge,1,1,1,1,0.02,0.301,0.01,0.301
abridged,9,6,7,5,0.18,1,0.07,0.8451
abridgement,1,1,1,1,0.02,0.301,0.01,0.301
abridging,2,2,2,2,0.04,0.4771,0.02,0.4771
abroad,250,203,248,201,4.9,2.3997,2.42,2.3096
abrogate,1,1,1,1,0.02,0.301,0.01,0.301
abrogated,2,2,2,2,0.04,0.4771,0.02,0.4771
abrogating,1,1,1,1,0.02,0.301,0.01,0.301
abrupt,58,56,56,54,1.14,1.7709,0.67,1.7559
abruption,6,5,5,5,0.12,0.8451,0.06,0.7782
abruptly,45,43,44,42,0.88,1.6628,0.51,1.6435
abruptness,4,4,4,4,0.08,0.699,0.05,0.699
abs,54,44,36,31,1.06,1.7404,0.52,1.6532
Abscam,3,2,0,0,0.06,0.6021,0.02,0.4771
abscess,25,21,23,20,0.49,1.415,0.25,1.3424
abscessed,3,3,3,3,0.06,0.6021,0.04,0.6021
