Counterbalance,List Num,Type,Item_Num,Word,Freq,Length,Con
A,1,C,1,Valley,3.1059,6,6.66
A,1,C,2,River,3.4518,5,5.83
A,1,C,3,Canyon,2.6222,6,NA
A,1,C,4,Volcano,2.233,7,6.83
A,1,C,5,Rock,3.643,4,6.03
A,1,C,6,Hill,3.2824,4,6.02
A,1,C,7,Mountain,3.2567,8,6.25
A,1,C,8,Ocean,3.1892,5,5.63
A,1,C,9,Island,3.3051,6,6.4
A,1,C,10,Lake,3.2641,4,5.7
A,1,C,11,Cave,2.8537,4,5.79
A,1,C,12,Glacier,1.5911,7,6.93
A,2,C,1,Tiger,2.9759,5,6.07
A,2,C,2,Lion,2.8943,4,6.14
A,2,C,3,Zebra,2.1106,5,6.52
A,2,C,4,Cheetah,2.0719,7,NA
A,2,C,5,Wolf,3.0149,4,NA
A,2,C,6,Goat,2.7308,4,6.22
A,2,C,7,Girraffe,NA,8,NA
A,2,C,8,Elephant,2.7642,8,7
A,2,C,9,Cat,3.5294,3,6.21
A,2,C,10,Donkey,2.4378,6,6.67
A,2,C,11,Bear,3.4667,4,5.81
A,2,C,12,Cow,3.1146,3,6.12
A,1,U,1,Rifle,2.8716,5,6.04
A,1,U,2,Mayor,3.203,5,4.75
A,1,U,3,Student,3.3416,7,6.38
A,1,U,4,Hockey,2.7701,6,5.23
A,1,U,5,Pants,3.4767,5,6.15
A,1,U,6,Oxygen,2.8506,6,5.43
A,1,U,7,Guitar,2.9009,6,6.73
A,1,U,8,Dollar,3.1495,6,5.68
A,1,U,9,Parrot,2.2253,6,6.28
A,1,U,10,Milk,3.3365,4,6.66
A,1,U,11,Jeep,2.7202,4,6.09
A,1,U,12,Ballet,2.7193,6,5.23
A,2,U,1,Sandal,1.0792,6,NA
A,2,U,2,Fly,3.6371,3,5.14
A,2,U,3,Tulip,1.6128,5,6.05
A,2,U,4,Cold,3.8221,4,4.67
A,2,U,5,Blue,3.7179,4,4.49
A,2,U,6,Cruise,2.7973,6,5.23
A,2,U,7,Shark,2.8837,5,5.98
A,2,U,8,Viper,2.1139,5,NA
A,2,U,9,Tea,3.4758,3,6.05
A,2,U,10,Lipstick,2.6532,8,NA
A,2,U,11,Computer,3.4789,8,6.15
A,2,U,12,Eye,3.756,3,6.28
B,3,C,1,Apple,3.0821,5,7
B,3,C,2,Orange,3.0565,6,5.74
B,3,C,3,Banana,2.7388,6,6.29
B,3,C,4,Grape,2.3118,5,5.85
B,3,C,5,Pear,1.8388,4,6.3
B,3,C,6,Peach,2.5119,5,6.05
B,3,C,7,Strawberry,2.4518,10,7
B,3,C,8,Kiwi,1.6128,4,NA
B,3,C,9,Plum,2.243,4,6.18
B,3,C,10,Mango,1.9294,5,NA
B,3,C,11,Cherry,2.8414,6,5.86
B,3,C,12,Lemon,2.7882,5,5.98
B,4,C,1,Ceiling,2.6304,7,6.02
B,4,C,2,Basement,3.0314,8,6.83
B,4,C,3,Bathroom,3.4978,8,NA
B,4,C,4,Window,3.6422,6,6.27
B,4,C,5,Wall,3.557,4,5.85
B,4,C,6,Door,4.1731,4,5.95
B,4,C,7,Floor,3.7104,5,5.47
B,4,C,8,Stairs,3.0839,6,5.54
B,4,C,9,Elevator,3.0955,8,6.23
B,4,C,10,Attic,2.6031,5,NA
B,4,C,11,Hallway,2.6884,7,5.54
B,4,C,12,Roof,3.2598,4,5.82
B,3,U,1,Frog,2.781,4,6.96
B,3,U,2,Bed,3.9797,3,6.59
B,3,U,3,Document,2.7126,8,NA
B,3,U,4,Dirt,3.1176,4,5.51
B,3,U,5,Mint,2.444,4,NA
B,3,U,6,Shirt,3.374,5,6.05
B,3,U,7,Yellow,3.2368,6,5.18
B,3,U,8,Kayak,1.4314,5,NA
B,3,U,9,Flea,2.2304,4,6.12
B,3,U,10,Bean,2.5441,4,6
B,3,U,11,Slow,3.5886,4,2.89
B,3,U,12,Hawk,2.8136,4,6.1
B,4,U,1,Card,3.6393,4,5.61
B,4,U,2,Flute,2.0374,5,5.66
B,4,U,3,Salt,2.9983,4,5.69
B,4,U,4,Cloud,2.7782,5,5.42
B,4,U,5,Basket,2.828,6,5.93
B,4,U,6,Cook,3.3664,4,4.91
B,4,U,7,Fossil,1.9031,6,NA
B,4,U,8,Mother,4.3888,6,5.47
B,4,U,9,Drill,2.8463,5,5.12
B,4,U,10,Tent,2.9509,4,5.79
B,4,U,11,Phone,4.1385,5,6.02
B,4,U,12,Rest,4.0359,4,3.48
