"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"foam","RR1","74"
"latex","RR2","75"
"galoshes","RR3","76"
"tire","RR4","77"
"flexible","RR5","78"
"elastic","RR6","79"
"gloves","RR7","80"
"eraser","RR8","81"
"bounce","RR9","82"
"ball","RR10","83"
"soles","RR11","84"
"springy","RR12","85"
