"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"table","T1","38"
"swivel","T2","39"
"rocking","T3","40"
"recliner","T4","41"
"seat","T5","42"
"stool","T6","43"
"desk","T7","44"
"couch","T8","45"
"sit","T9","46"
"sofa","T10","47"
"bench","T11","48"
"sitting","T12","49"
