"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"aroma","Win_1","2"
"scent","Win_2","3"
"whiff","Win_3","4"
"stench","Win_4","5"
"reek","Win_5","6"
"sniff","Win_6","7"
"perfume","Win_7","8"
"fragrance","Win_8","9"
"nose","Win_9","10"
"rose","Win_10","11"
"salts","Win_11","12"
"breathe","Win_12","13"
