Stimuli.Cue,Stimuli.Shuffle,Procedure.Item
smell,SS1,1
soft,SS2,2
sweet,SS3,3
chair,SS4,4
mountain,SS5,5
music,SS6,6
rubber,SS7,7
foot,SS8,8
girl,SS9,9
black,SS10,10
