"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"toe","B1","86"
"inch","B2","87"
"ankle","B3","88"
"shoe","B4","89"
"sandals","B5","90"
"sock","B6","91"
"hand","B7","92"
"boot","B8","93"
"yard","B9","94"
"kick","B10","95"
"knee","B11","96"
"walk","B12","97"
