"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"boy","F1","98"
"dolls","F2","99"
"pretty","F3","100"
"female","F4","101"
"dress","F5","102"
"date","F6","103"
"beautiful","F7","104"
"daughter","F8","105"
"sister","F9","106"
"cute","F10","107"
"niece","F11","108"
"young","F12","109"
