"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"rye","B1","86"
"loaf","B2","87"
"butter","B3","88"
"toast","B4","89"
"dough","B5","90"
"crust","B6","91"
"flour","B7","92"
"sandwich","B8","93"
"jam","B9","94"
"jelly","B10","95"
"slice","B11","96"
"milk","B12","97"
