"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"garbage","T1","38"
"rubbish","T2","39"
"debris","T3","40"
"dump","T4","41"
"litter","T5","42"
"landfill","T6","43"
"junk","T7","44"
"waste","T8","45"
"sewage","T9","46"
"pile","T10","47"
"scraps","T11","48"
"refuse","T12","49"
