"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"pane","Win_1","2"
"sill","Win_2","3"
"shutter","Win_3","4"
"curtain","Win_4","5"
"door","Win_5","6"
"ledge","Win_6","7"
"glass","Win_7","8"
"view","Win_8","9"
"screen","Win_9","10"
"shade","Win_10","11"
"open","Win_11","12"
"frame","Win_12","13"
