"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"mississippi","RR1","74"
"creek","RR2","75"
"stream","RR3","76"
"flow","RR4","77"
"bridge","RR5","78"
"brook","RR6","79"
"lake","RR7","80"
"barge","RR8","81"
"water","RR9","82"
"boat","RR10","83"
"tide","RR11","84"
"swim","RR12","85"
