"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"hard","R1","14"
"loud","R2","15"
"tender","R3","16"
"fluffy","R4","17"
"pillow","R5","18"
"downy","R6","19"
"plush","R7","20"
"cotton","R8","21"
"skin","R9","22"
"fur","R10","23"
"touch","R11","24"
"furry","R12","25"
