"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"fast","S1","62"
"snail","S2","63"
"turtle","S3","64"
"sluggish","S4","65"
"quick","S5","66"
"molasses","S6","67"
"lethargic","S7","68"
"speed","S8","69"
"delay","S9","70"
"hesitant","S10","71"
"cautious","S11","72"
"traffic","S12","73"
