"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"rage","A1","26"
"mad","A2","27"
"enrage","A3","28"
"fury","A4","29"
"temper","A5","30"
"ire","A6","31"
"wrath","A7","32"
"mean","A8","33"
"hatred","A9","34"
"fight","A10","35"
"hate","A11","36"
"fear","A12","37"
