"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"climber","D1","50"
"hill","D2","51"
"climb","D3","52"
"molehill","D4","53"
"peak","D5","54"
"valley","D6","55"
"summit","D7","56"
"steep","D8","57"
"ski","D9","58"
"bike","D10","59"
"goat","D11","60"
"glacier","D12","61"
