"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"sandpaper","R1","14"
"smooth","R2","15"
"coarse","R3","16"
"tough","R4","17"
"rugged","R5","18"
"bumpy","R6","19"
"jagged","R7","20"
"riders","R8","21"
"uneven","R9","22"
"road","R10","23"
"ready","R11","24"
"sand","R12","25"
