"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"blouse","SS1","110"
"sleeves","SS2","111"
"collar","SS3","112"
"shorts","SS4","113"
"button","SS5","114"
"pants","SS6","115"
"polo","SS7","116"
"jersey","SS8","117"
"vest","SS9","118"
"cuffs","SS10","119"
"tie","SS11","120"
"pocket","SS12","121"
