Stimuli.Cue,Stimuli.Shuffle,Procedure.Item
window,SS1,1
rough,SS2,2
anger,SS3,3
trash,SS4,4
doctor,SS5,5
slow,SS6,6
river,SS7,7
bread,SS8,8
flag,SS9,9
shirt,SS10,10
