"Stimuli.Cue","Stimuli.Shuffle","Procedure.Item"
"white","SS1","110"
"gray","SS2","111"
"brown","SS3","112"
"coal","SS4","113"
"dark","SS5","114"
"color","SS6","115"
"funeral","SS7","116"
"blue","SS8","117"
"charred","SS9","118"
"ink","SS10","119"
"death","SS11","120"
"cat","SS12","121"
