"Sub.ID","Proportion.Correct","Condition.Description","Procedure.Procedure.Notes","Procedure.Shuffle","Condition.Notes","task","mem_type"
"5c7eb22a78402100172fb02c",0.833333333333333,"Global","","RECALL_Test","A","global","true"
"5d7a87d2403e9d0001421932",0.641666666666667,"Global","","RECALL_Test","A","global","true"
"5d95fe287f664d0016591f9b",0.733333333333333,"Global","","RECALL_Test","A","global","true"
"5de12fbfe4f42a1842172d7a",0.558333333333333,"Global","","RECALL_Test","A","global","true"
"5e7d790c0d34ae3fef75c74e",0.583333333333333,"Global","","RECALL_Test","A","global","true"
"5f136634744bae3689117234",0.733333333333333,"Global","","RECALL_Test","A","global","true"
"60c9003363ca81b7d3b004a4",0.525,"Global","","RECALL_Test","A","global","true"
"634688391e61c68f25ca1f82",0.566666666666667,"Global","","RECALL_Test","A","global","true"
"649c2f4f97c521d83289c1d1",0.675,"Global","","RECALL_Test","A","global","true"
"6509ced499369f98b2c27874",0.925,"Global","","RECALL_Test","A","global","true"
"652942967dba4555fc1a912b",0.783333333333333,"Global","","RECALL_Test","A","global","true"
"653ad51a96ba72b4243e5c07",0.65,"Global","","RECALL_Test","A","global","true"
"654676d73282e9e8d26d129f",0.525,"Global","","RECALL_Test","A","global","true"
"657873a2a8c5516a28606b5e",0.725,"Global","","RECALL_Test","A","global","true"
"657f0b244c7490faace37f69",0.633333333333333,"Global","","RECALL_Test","A","global","true"
"6580b703bb0ff372f179abc7",0.475,"Global","","RECALL_Test","A","global","true"
"6581a18dca8e78410c031dfc",0.908333333333333,"Global","","RECALL_Test","A","global","true"
"65a961d8a6a64526a0d975a8",0.833333333333333,"Global","","RECALL_Test","A","global","true"
"65aa8b1b46af6e5c652bb438",0.391666666666667,"Global","","RECALL_Test","A","global","true"
"65cf94ff6f940c7cb023275a",0.45,"Global","","RECALL_Test","A","global","true"
"58de70ac1400fc0001207546",0.633333333333333,"Global","","RECALL_Test","B","global","true"
"5abc11e6e1099600016a3097",0.7,"Global","","RECALL_Test","B","global","true"
"5c0d8bca22f3eb000116c33d",0.55,"Global","","RECALL_Test","B","global","true"
"5e3878a934f9ab08e0394edd",0.716666666666667,"Global","","RECALL_Test","B","global","true"
"5e9631199066e50a678a68fa",0.533333333333333,"Global","","RECALL_Test","B","global","true"
"5ee1cf1e0df8e55c6b9e1f1a",0.55,"Global","","RECALL_Test","B","global","true"
"5f08dafa392f74145122c0ee",0.425,"Global","","RECALL_Test","B","global","true"
"5f597e39254a691df1186a21",0.775,"Global","","RECALL_Test","B","global","true"
"60282d2ffedb021342e2df15",0.966666666666667,"Global","","RECALL_Test","B","global","true"
"60bcc05d27b1017afc3373b5",0.516666666666667,"Global","","RECALL_Test","B","global","true"
"60fd01d7f7b981fdbe1f1b44",0.866666666666667,"Global","","RECALL_Test","B","global","true"
"6401041925b69c601d8c81eb",0.608333333333333,"Global","","RECALL_Test","B","global","true"
"644a6820397bfb1e30ec36c5",0.55,"Global","","RECALL_Test","B","global","true"
"647f96bddb4fd4db747f3ef4",0.616666666666667,"Global","","RECALL_Test","B","global","true"
"648868c355e5b891758c5767",0.591666666666667,"Global","","RECALL_Test","B","global","true"
"649cbefc9ac085131a41f626",0.758333333333333,"Global","","RECALL_Test","B","global","true"
"6501c1d3aaba684f01c57bde",0.391666666666667,"Global","","RECALL_Test","B","global","true"
"652fe1a6263f72bba81f4247",0.95,"Global","","RECALL_Test","B","global","true"
"6544501aa5c9cf6aa4ad5ed8",0.816666666666667,"Global","","RECALL_Test","B","global","true"
"6555036c583bbf5fc6e0d702",0.741666666666667,"Global","","RECALL_Test","B","global","true"
"65dd6ca1a06e762a792e26f2",0.483333333333333,"Global","","RECALL_Test","B","global","true"
"5c7eb22a78402100172fb02c",0.3,"Global","","RECALL_Test","A","global","DRM"
