Index,Related1,Unrelated1,Related2,Unrelated2
1,Valley,Rifle,Tiger,Sandal
2,River,Mayor,Lion,Fly
3,Canyon,Student,Zebra,Tulip
4,Volcano,Hockey,Cheetah,Cold
5,Rock,Pants,Wolf,Blue
6,Hill,Oxygen,Goat,Cruise
7,Mountain,Guitar,Girraffe,Shark
8,Ocean,Dollar,Elephant,Viper
9,Island,Parrot,Cat,Tea
10,Lake,Milk,Donkey,Lipstick
11,Cave,Jeep,Bear,Computer
12,Glacier,Ballet,Cow,Eye
