Index,Related1,Unrelated1,Related2,Unrelated2
1,Apple,Frog,Ceiling,Card
2,Orange,Bed,Basement,Flute
3,Banana,Document,Bathroom,Salt
4,Grape,Dirt,Window,Cloud
5,Pear,Mint,Wall,Basket
6,Peach,Shirt,Door,Cook
7,Strawberry,Yellow,Floor,Fossil
8,Kiwi,Kayak,Stairs,Mother
9,Plum,Flea,Elevator,Drill
10,Mango,Bean,Attic,Tent
11,Cherry,Slow,Hallway,Phone
12,Lemon,Hawk,Roof,Rest
