"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"M20326622","Basement","Control",NA,"Control","Global_JOL",1
"M10356731","Basement","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Basement","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Basement","Control",NA,"Control","Global_JOL",1
"M20337010","Basement","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Basement","Control",NA,"Control","Global_JOL",1
"M20317351","Basement","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Basement","Control",NA,"Control","Global_JOL",1
"M20322859","Basement","Control",NA,"Control","Global_JOL",1
"20322965","Basement","Control",NA,"Control","Global_JOL",0
"M20302792","Basement","Control",NA,"Control","Global_JOL",1
"M20295968","Basement","Control",NA,"Control","Global_JOL",1
"M20308397","Basement","Control",NA,"Control","Global_JOL",1
"M20316174","Basement","Control",NA,"Control","Global_JOL",0
"m20320237","Basement","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Basement","Control",NA,"Control","Global_JOL",1
"M20321343!","Basement","Control",NA,"Control","Global_JOL",0
"M20316174","Basket","Control",NA,"Control","Global_JOL",0
"M20295968","Basket","Control",NA,"Control","Global_JOL",1
"M20322859","Basket","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Basket","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Basket","Control",NA,"Control","Global_JOL",1
"m20327174","Basket","Control",NA,"Control","Global_JOL",1
"M20321748","Basket","Control",NA,"Control","Global_JOL",1
"M20315108","Basket","Control",NA,"Control","Global_JOL",1
"20322939","Basket","Control",NA,"Control","Global_JOL",0
"M20308397","Basket","Control",NA,"Control","Global_JOL",0
"M20317351","Basket","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Basket","Control",NA,"Control","Global_JOL",1
"20322965","Basket","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Basket","Control",NA,"Control","Global_JOL",1
"m20320237","Basket","Control",NA,"Control","Global_JOL",1
"M20302792","Basket","Control",NA,"Control","Global_JOL",1
"M20337010","Basket","Control",NA,"Control","Global_JOL",1
"M10356731","Basket","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Basket","Control",NA,"Control","Global_JOL",1
"M20321343!","Basket","Control",NA,"Control","Global_JOL",1
"M20326622","Basket","Control",NA,"Control","Global_JOL",1
